Latitude	Longitude	Min_Ma	Max_Ma
50.8739	0.2308	134.1	136.4
51.0213	-0.0329	134.1	136.4
50.8343	0.2822	134.1	136.4
50.8954	0.6074	134.1	136.4
50.9635	-0.3212	134.1	136.4
51.1405	-1.2881	134.1	136.4
50.908	0.6178	134.1	136.4
51.1329	-0.3235	134.1	136.4
51.1008	-0.3239	134.1	136.4
50.9394	0.4467	134.1	136.4
51.0731	-0.0673	134.1	136.4
50.8455	-1.0952	134.1	136.4
51.7483	-1.1813	134.1	136.4
51.0382	0.3271	134.1	136.4
51.0289	-0.2206	134.1	136.4
50.916	0.5883	134.1	136.4
50.9696	0.3097	138.4	142.9
50.9529	0.4004	138.4	142.9
50.9759	0.3055	138.4	142.9
51.061	-1.2908	138.4	142.9
51.0304	-0.1529	138.4	142.9
50.599	-1.9533	138.4	142.9
50.8752	0.6412	138.4	142.9
50.9697	0.3301	138.4	142.9
50.8954	0.6074	138.4	142.9
50.8665	0.567	138.4	142.9
50.9635	-0.3212	138.4	142.9
51.1405	-1.2881	138.4	142.9
50.9783	0.3094	138.4	142.9
50.945	0.4591	138.4	142.9
50.9394	0.4467	138.4	142.9
51.1855	0.2136	138.4	142.9
50.8455	-1.0952	138.4	142.9
51.0289	-0.2206	138.4	142.9
42.059	-1.8637	132.6	139.8
52.8813	18.6953	141.6	143.7
50.9529	0.4004	139.8	141.2
50.9759	0.3055	139.8	141.2
52.0001	6.8026	139.8	141.4
51.061	-1.2908	139.8	141.2
51.0304	-0.1529	139.8	141.2
50.599	-1.9533	139.8	141.2
50.8752	0.6412	139.8	141.2
50.9678	0.249	139.8	141.2
50.945	0.4591	139.8	141.2
50.9394	0.4467	139.8	141.2
50.8455	-1.0952	139.8	141.2
51.0289	-0.2206	139.8	141.2
51.3614	8.8031	140.2	140.6
52.7802	7.9837	140.2	140.6
52.3591	7.1444	140.2	141.4
52.8584	7.3243	140.2	140.6
53.1488	8.2247	140.2	140.6
52.6783	7.9627	140.2	140.6
52.5909	8.4805	140.2	140.6
52.5909	8.4805	140.2	140.6
52.6484	7.0753	140.2	140.6
52.4963	7.936	140.6	141.4
52.9222	7.53	140.6	141.4
52.5829	7.0712	140.6	141.4
52.794	7.861	140.6	141.4
52.5198	7.3181	140.6	141.4
52.3409	7.5784	140.6	141.4
52.318	7.3552	140.6	141.4
52.68	9.3226	140.6	141.4
52.8612	7.365	140.6	141.4
55.0832	14.8015	140.6	141.4
51.0529	0.1396	141.1	142.6
50.9529	0.4004	141.1	142.6
50.9759	0.3055	141.1	142.6
52.6781	9.4677	141.4	142.1
52.6783	9.7581	141.4	142.1
51.3614	8.8031	141.4	142.1
52.7451	7.4001	141.4	142.1
52.5102	7.0621	141.4	142.1
52.7802	7.9837	141.4	142.1
52.794	7.861	141.4	142.1
52.8584	7.3243	141.4	142.1
52.5198	7.3181	141.4	142.1
52.3409	7.5784	141.4	142.1
52.5909	8.4805	141.4	142.1
52.6677	7.2429	141.4	142.1
52.318	7.3552	141.4	142.1
51.061	-1.2908	141.4	142.1
50.599	-1.9533	141.4	142.1
50.8752	0.6412	141.4	142.1
50.8954	0.6074	141.4	142.1
50.9678	0.249	141.4	142.1
50.945	0.4591	141.4	142.1
50.9394	0.4467	141.4	142.1
51.0289	-0.2206	141.4	142.1
50.9529	0.4004	141.3	142.5
50.9759	0.3055	141.3	142.5
51.061	-1.2908	141.3	142.5
50.599	-1.9533	141.3	142.5
50.8752	0.6412	141.3	142.5
50.8954	0.6074	141.3	142.5
50.9678	0.249	141.3	142.5
50.9783	0.3094	141.3	142.5
50.945	0.4591	141.3	142.5
51.1855	0.2136	141.3	142.5
51.1855	0.2136	141.3	142.5
50.8455	-1.0952	141.3	142.5
46.3835	5.767	141.3	142.5
51.0289	-0.2206	141.3	142.5
52.3839	10.1844	141.4	142.1
52.5102	7.0621	141.4	142.1
52.6484	7.0753	141.4	142.1
50.9759	0.3055	140.4	141.9
51.061	-1.2908	140.4	141.9
50.8752	0.6412	140.4	141.9
50.9635	-0.3212	140.4	141.9
51.1405	-1.2881	140.4	141.9
50.945	0.4591	140.4	141.9
51.1855	0.2136	140.4	141.9
51.0289	-0.2206	140.4	141.9
52.5102	7.0621	140.6	141.4
52.5829	7.0712	140.6	141.4
52.8584	7.3243	140.6	141.4
42.1511	-2.2698	121.4	132.6
42.059	-1.8637	121.4	132.6
51.061	-1.2908	134.6	135.8
50.8739	0.2308	134.6	135.8
51.0213	-0.0329	134.6	135.8
50.8343	0.2822	134.6	135.8
42.7929	-4.2604	134.6	135.8
42.6954	-3.9571	134.6	135.8
50.908	0.6178	134.6	135.8
51.0382	0.3271	134.6	135.8
51.0289	-0.2206	134.6	135.8
50.916	0.5883	134.6	135.8
50.8739	0.2308	134.6	135.8
51.0213	-0.0329	134.6	135.8
50.8343	0.2822	134.6	135.8
51.1405	-1.2881	134.6	135.8
51.0382	0.3271	134.6	135.8
51.0289	-0.2206	134.6	135.8
50.916	0.5883	134.6	135.8
50.9759	0.3055	139.5	141.7
51.061	-1.2908	139.5	141.7
50.8752	0.6412	139.5	141.7
50.8954	0.6074	139.5	141.7
51.1405	-1.2881	139.5	141.7
50.9783	0.3094	139.5	141.7
50.945	0.4591	139.5	141.7
51.0289	-0.2206	139.5	141.7
52.6781	9.4677	142.5	144.1
52.6783	9.7581	142.5	144.1
46.3835	5.767	142.5	144.1
49.1269	3.5708	142.5	144.1
52.5627	17.6432	143.1	143.7
51.061	-1.2908	132.6	136.4
50.8739	0.2308	132.6	136.4
51.0008	-0.1266	132.6	136.4
51.1282	-0.0095	132.6	136.4
51.0213	-0.0329	132.6	136.4
50.8343	0.2822	132.6	136.4
51.1533	0.2778	132.6	136.4
51.217	-2.9723	132.6	136.4
51.0079	-0.2026	132.6	136.4
51.1405	-1.2881	132.6	136.4
50.908	0.6178	132.6	136.4
51.0731	-0.0673	132.6	136.4
51.079	-0.0399	132.6	136.4
51.7483	-1.1813	132.6	136.4
51.1442	0.248	132.6	136.4
51.1642	0.2638	132.6	136.4
51.0382	0.3271	132.6	136.4
51.0289	-0.2206	132.6	136.4
50.916	0.5883	132.6	136.4
51.0942	0.4806	134.6	137.7
51.061	-1.2908	134.6	137.7
50.8343	0.2822	134.6	137.7
51.1405	-1.2881	134.6	137.7
50.908	0.6178	134.6	137.7
51.0382	0.3271	134.6	137.7
51.0289	-0.2206	134.6	137.7
50.916	0.5883	134.6	137.7
51.0304	-0.1529	127.3	128.5
50.8755	0.2367	127.3	128.5
50.8283	0.3167	127.3	128.5
50.8746	0.139	127.3	128.5
51.0289	-0.2206	127.3	128.5
51.0987	-0.3262	127.3	128.5
50.9529	0.4004	138.8	141.7
50.9759	0.3055	138.8	141.7
51.061	-1.2908	138.8	141.7
50.599	-1.9533	138.8	141.7
50.8752	0.6412	138.8	141.7
50.9635	-0.3212	138.8	141.7
51.1405	-1.2881	138.8	141.7
50.945	0.4591	138.8	141.7
50.6384	-2.375	138.8	141.7
50.8455	-1.0952	138.8	141.7
51.0289	-0.2206	138.8	141.7
50.616	-2.1851	138.8	141.7
52.6781	9.4677	140.2	142.1
52.6783	9.7581	140.2	142.1
52.7451	7.4001	140.2	142.1
52.5102	7.0621	140.2	142.1
52.5829	7.0712	140.2	142.1
52.3591	7.1444	140.2	142.1
52.8584	7.3243	140.2	142.1
52.5198	7.3181	140.2	142.1
52.3409	7.5784	140.2	142.1
52.6484	7.0753	140.2	142.1
42.853	-2.68	140.6	142.1
40.2234	-1.9764	113	123.6
52.6783	9.7581	142.1	145
50.609	-1.3654	121.4	123.3
