p_lat	p_lng
41.5887	10.0704
41.732	9.8435
41.5494	10.1146
41.6151	10.3869
41.6712	9.6024
41.837	8.7833
41.6283	10.3958
41.8402	9.5953
41.8082	9.5961
41.6567	10.2506
41.7835	9.8134
41.5441	8.9527
42.4451	8.8594
41.754	10.1464
41.7375	9.6849
41.6358	10.3702
41.9591	9.6798
41.9438	9.7566
41.965	9.6761
42.0238	8.3219
42.0109	9.2857
41.5528	7.7748
41.8703	9.9638
41.9595	9.6967
41.8897	9.9342
41.8609	9.9015
41.9421	9.1459
42.1039	8.3219
41.9671	9.6786
41.9369	9.8069
41.9307	9.797
42.1723	9.5902
41.8118	8.4946
42.0087	9.2282
32.9574	8.5953
44.7241	24.9104
41.9362	9.7691
41.9575	9.6887
43.1521	15.1097
42.0165	8.3346
42.0034	9.2982
41.5455	7.7874
41.8628	9.9763
41.9485	9.6407
41.9293	9.8194
41.9231	9.8095
41.8044	8.5072
42.0012	9.2407
42.5735	16.8642
43.9602	16.0586
43.5329	15.3537
44.0152	15.4989
44.3371	16.2301
43.8576	16.0492
43.7893	16.4905
43.7893	16.4905
43.7972	15.3062
43.7083	15.9928
44.1193	15.6176
43.7651	15.259
44.0031	15.9056
43.7106	15.4714
43.5409	15.7041
43.5102	15.5182
43.9436	17.143
44.0527	15.4841
46.5835	21.4592
42.0992	9.4325
42.0042	9.6569
42.0253	9.5763
43.9896	17.2053
44.0011	17.4492
42.6493	16.7587
43.9794	15.4617
43.7331	15.1962
44.0351	15.9493
44.0447	15.8449
44.0896	15.3889
43.7519	15.4107
43.5823	15.6438
43.8647	16.3821
43.8971	15.336
43.5515	15.4578
42.0778	8.2291
41.6062	7.6823
41.9259	9.8727
41.9452	9.843
42.0112	9.5366
41.9923	9.7155
41.986	9.7056
42.0636	9.1361
42.0067	9.6527
42.0278	9.5721
42.0851	8.2164
41.6135	7.6697
41.9334	9.8602
41.9528	9.8306
42.0188	9.5241
42.0299	9.5746
41.9998	9.703
42.235	9.4857
42.235	9.4857
41.8733	8.3897
37.5792	14.4932
42.071	9.1236
43.7251	17.8351
43.7331	15.1962
43.8713	15.1964
41.9902	9.6345
42.0484	8.2797
41.8956	9.9223
41.967	9.104
42.1284	8.2796
41.9621	9.7653
42.1974	9.5483
42.0337	9.1863
43.6919	15.257
43.7651	15.259
44.0483	15.4499
32.586	9.4798
32.3594	9.7391
41.7545	8.7869
41.5861	10.0746
41.7295	9.8478
41.5468	10.1189
34.3981	7.2496
34.2032	7.4255
41.6257	10.4
41.7514	10.1506
41.735	9.6891
41.6333	10.3744
