Latitude	Longitude	Min_Ma	Max_Ma
33.7806	35.7219	117.2	125.8
33.7071	35.6737	117.2	125.8
33.8101	35.7675	117.2	125.8
33.5409	35.5864	117.2	125.8
33.7814	35.5953	117.2	125.8
33.5594	35.5408	117.2	125.8
31.6441	34.6654	121.4	132.6
11.0404	49.0755	117.2	121.4
33.7806	35.7219	117.2	125.8
33.5409	35.5864	117.2	125.8
33.8101	35.7675	117.2	125.8
33.7814	35.5953	117.2	125.8
33.1703	35.5506	121.4	132.6
33.1703	35.5506	121.4	132.6
31.9689	-6.2738	113	121.4
34.4295	9.5128	121.4	129.2
31.1726	-7.935	123.6	129.2
31.1726	-7.935	123.6	129.2
31.7183	-6.8934	149.2	154.8
11.0404	49.0755	117.2	121.4
33.4099	-4.3012	140.2	145
33.4099	-4.3012	140.2	145
33.4099	-4.3012	140.2	145
33.4099	-4.3012	140.2	145
33.7071	35.6737	117.2	125.8
33.8101	35.7675	117.2	125.8
33.5409	35.5864	117.2	125.8
33.7814	35.5953	117.2	125.8
33.5594	35.5408	117.2	125.8
33.1703	35.5506	121.4	132.6
33.1703	35.5506	121.4	132.6
33.4099	-4.3012	132.6	141.6
33.4099	-4.3012	132.6	141.6
33.7806	35.7219	117.2	125.8
33.7071	35.6737	117.2	125.8
33.8101	35.7675	117.2	125.8
33.7814	35.5953	117.2	125.8
31.6441	34.6654	121.4	132.6
33.1703	35.5506	121.4	132.6
33.1703	35.5506	121.4	132.6
33.1703	35.5506	121.4	132.6
31.7183	-6.8934	149.2	154.8
31.7183	-6.8934	149.2	161.5
31.7183	-6.8934	149.2	154.8
33.7814	35.5953	117.2	125.8
33.7814	35.5953	117.2	125.8
33.4099	-4.3012	139.5	141.7
33.4099	-4.3012	139.5	141.7
35.1164	10.8526	110.8	111.4
33.7806	35.7219	117.2	125.8
33.7071	35.6737	117.2	125.8
33.5409	35.5864	117.2	125.8
31.1726	-7.935	123.6	129.2
31.1726	-7.935	123.6	129.2
33.8101	35.7675	117.2	125.8
33.7814	35.5953	117.2	125.8
31.5796	34.6565	121.4	132.6
33.1703	35.5506	121.4	132.6
32.3503	35.5477	121.4	132.6
35.1667	9.5833	121.4	124.1
33.4099	-4.3012	141.9	147.1
33.4099	-4.3012	141.9	147.1
35.1164	10.8526	117.2	121.4
31.7183	-6.8934	149.2	161.5
31.7183	-6.8934	149.2	161.5
31.7183	-6.8934	149.2	161.5
31.7183	-6.8934	149.2	161.5
31.7183	-6.8934	149.2	161.5
