p_lat	p_lng
8.6845	32.2241
8.633	32.1569
8.6958	32.2706
8.5109	32.0211
8.7272	32.1265
8.5426	31.9939
7.2935	30.5669
-15.1644	36.5338
8.6845	32.2241
8.5109	32.0211
8.6958	32.2706
8.7272	32.1265
8.3531	31.908
8.3531	31.908
22.9258	-0.8605
19.5681	13.6925
24.4496	-1.8145
24.4496	-1.8145
27.0225	-2.1946
-15.1644	36.5338
26.2776	1.2842
26.2776	1.2842
26.2776	1.2842
26.2776	1.2842
8.633	32.1569
8.6958	32.2706
8.5109	32.0211
8.7272	32.1265
8.5426	31.9939
8.3531	31.908
8.3531	31.908
25.756	1.5148
25.756	1.5148
8.6845	32.2241
8.633	32.1569
8.6958	32.2706
8.7272	32.1265
7.2935	30.5669
8.3531	31.908
8.3531	31.908
8.3531	31.908
27.0225	-2.1946
27.4236	-2.348
27.0225	-2.1946
8.7272	32.1265
8.7272	32.1265
26.0879	1.368
26.0879	1.368
18.2552	12.8184
8.6845	32.2241
8.633	32.1569
8.5109	32.0211
24.4496	-1.8145
24.4496	-1.8145
8.6958	32.2706
8.7272	32.1265
7.2386	30.5329
8.3531	31.908
6.4234	30.675
19.8115	14.3371
26.4826	1.0139
26.4826	1.0139
18.9522	14.5756
27.4236	-2.348
27.4236	-2.348
27.4236	-2.348
27.4236	-2.348
27.4236	-2.348
