Latitude	Longitude	Min_Ma	Max_Ma
42.5542	-110.8076	105	110
42.4917	-110.9449	105	110
43.6088	-111.1461	105	110
44.62	-114.7959	105	110
44.62	-114.7959	105	110
44.62	-114.7959	105	110
43.6088	-111.1461	105	110
43.7987	-107.0654	98	124
42.8763	-108.7997	98	124
42.0851	-110.9571	99	105
42.7728	-107.2523	105	110
43.6088	-111.1461	105	110
44.62	-114.7959	105	110
44.62	-114.7959	105	110
43.6088	-111.1461	105	110
42.0851	-110.9571	105	110
34.0579	-93.6919	100.5	113
35.4389	-75.5764	100.5	113
32.8445	-97.7842	106.8	113
42.8328	-108.7322	98	124
43.1259	-109.6248	98	124
43.0803	-108.8969	98	124
34.0579	-93.6919	100.5	113
35.4389	-75.5764	100.5	113
42.4917	-110.9449	105	110
43.6088	-111.1461	105	110
43.1621	-111.2249	105	110
44.62	-114.7959	105	110
43.2985	-110.7824	105	110
32.8445	-97.7842	106.8	113
42.7931	-111.0745	110	115
42.9933	-111.0328	110	115
44.3906	-104.6724	106.7	117.2
44.3906	-104.6724	106.7	110
41.7909	-107.2356	130	140
43.3427	-103.5981	132.6	142.4
43.3427	-103.5981	132.6	142.4
43.3573	-103.6872	132.6	142.4
43.3573	-103.6872	132.6	142.4
43.3574	-103.6716	132.6	142.4
43.4071	-103.4354	132.6	142.4
43.4333	-103.4844	132.6	142.4
44.3906	-104.6724	132.6	142.4
44.4776	-103.6248	132.6	142.4
43.3425	-103.7026	132.6	142.4
43.3615	-103.421	132.6	142.4
43.2802	-103.4191	132.6	142.4
38.8756	-109.4465	133.7	142.5
38.8302	-109.7634	133.7	142.5
41.7909	-107.2356	130	140
43.3516	-103.6045	132.6	142.4
43.4107	-103.4455	132.6	142.4
43.3505	-103.6263	132.6	142.4
43.3427	-103.5981	132.6	142.4
43.3427	-103.5981	132.6	142.4
43.3574	-103.6716	132.6	142.4
43.3912	-103.3852	132.6	142.4
43.4071	-103.4354	132.6	142.4
43.4333	-103.4844	132.6	142.4
43.3516	-103.6045	132.6	142.4
44.3906	-104.6724	132.6	142.4
43.2802	-103.4191	132.6	142.4
38.8756	-109.4465	133.7	142.5
38.8302	-109.7634	133.7	142.5
35.4389	-75.5764	100.5	113
43.2786	-103.6292	113	117.2
43.5087	-103.3379	113	117.2
43.4773	-103.3027	113	117.2
43.4435	-103.4627	113	117.2
42.0851	-110.9571	99	105
42.4917	-110.9449	105	110
43.6088	-111.1461	105	110
44.62	-114.7959	105	110
44.62	-114.7959	105	110
44.62	-114.7959	105	110
43.6088	-111.1461	105	110
43.7987	-107.0654	98	124
42.7883	-108.7826	98	124
42.8761	-108.773	98	124
43.2786	-103.6292	113	117.2
40.6461	-116.1353	113	121.4
44.4517	-103.6503	123.6	142.4
44.3834	-103.862	132.6	142.4
43.3427	-103.5981	132.6	142.4
43.3427	-103.5981	132.6	142.4
43.3573	-103.6872	132.6	142.4
43.3797	-103.6042	132.6	142.4
44.2747	-103.3746	132.6	142.4
43.3573	-103.6872	132.6	142.4
43.3574	-103.6716	132.6	142.4
43.3574	-103.6716	132.6	142.4
44.2747	-103.3746	132.6	142.4
44.2747	-103.3746	132.6	142.4
43.3574	-103.6716	132.6	142.4
43.7987	-107.0654	98	124
42.7883	-108.7826	98	124
42.8763	-108.7997	98	124
42.8761	-108.773	98	124
43.1259	-109.6248	98	124
43.0803	-108.8969	98	124
42.7931	-111.0481	115	124
50.4348	-111.5333	103	115
34.0579	-93.6919	100.5	113
34.8986	-76.3667	100.5	113
34.7306	-76.575	100.5	113
36.3028	-75.925	100.5	113
35.9986	-75.3333	100.5	113
35.8833	-75.6708	100.5	113
35.8639	-75.925	100.5	113
35.7033	-75.5983	100.5	113
35.3069	-75.8292	100.5	113
53.8696	-113.0667	103	115
42.5542	-110.8076	105	110
43.6088	-111.1461	105	110
44.62	-114.7959	105	110
44.62	-114.7959	105	110
44.62	-114.7959	105	110
43.6088	-111.1461	105	110
43.2985	-110.7824	105	110
38.7304	-109.5365	106.8	121.4
46.6678	-113.1493	110	115
46.6678	-113.1493	110	115
45.1768	-111.6854	110	115
45.0922	-110.7997	98	124
42.4448	-110.7925	99	105
44.62	-114.7959	99	105
42.4834	-110.8069	99	105
42.0851	-110.9571	99	105
42.7728	-107.2523	105	110
42.5542	-110.8076	105	110
42.4917	-110.9449	105	110
43.6088	-111.1461	105	110
42.4917	-110.9449	105	110
42.6819	-110.9248	105	110
43.1621	-111.2249	105	110
43.1194	-111.2167	105	110
43.1185	-111.1298	105	110
44.62	-114.7959	105	110
44.62	-114.7959	105	110
44.62	-114.7959	105	110
44.62	-114.7959	105	110
43.6088	-111.1461	105	110
42.0851	-110.9571	105	110
45.1768	-111.6854	110	115
45.3716	-112.461	110	115
46.6678	-113.1493	110	115
45.3716	-112.461	110	115
46.6678	-113.1493	110	115
45.1768	-111.6854	110	115
53.3538	-114.4841	113	121.4
36.8918	-102.9621	149.2	154.8
36.8918	-102.9621	149.2	154.8
