p_lat	p_lng
43.2375	-68.3987
43.1991	-68.5525
44.321	-68.4094
45.8947	-71.7059
45.8947	-71.7059
45.8947	-71.7059
44.321	-68.4094
44.0334	-60.5306
43.7974	-65.5393
42.0842	-71.1339
42.8732	-62.9635
44.321	-68.4094
45.8947	-71.7059
45.8947	-71.7059
44.321	-68.4094
42.8039	-68.6857
31.5003	-53.5215
29.2684	-36.3925
31.6115	-56.0007
43.7424	-65.4892
44.2034	-66.2506
44.0131	-65.5564
31.5003	-53.5215
29.2684	-36.3925
43.1991	-68.5525
44.321	-68.4094
43.8979	-68.6255
45.8947	-71.7059
43.959	-68.1467
31.6115	-56.0007
43.5563	-66.2744
43.7455	-66.1756
43.9952	-57.5373
43.9775	-59.3907
39.6783	-56.0952
40.3214	-52.0909
40.3214	-52.0909
40.3495	-52.1696
40.3495	-52.1696
40.347	-52.1556
40.3573	-51.9207
40.3906	-51.9586
41.5171	-52.776
41.4316	-51.778
40.3375	-52.1889
40.3112	-51.9208
40.2309	-51.9429
37.0376	-62.9415
37.041	-63.2561
39.6783	-56.0952
40.3311	-52.0939
40.363	-51.9297
40.3327	-52.1149
40.3214	-52.0909
40.3214	-52.0909
40.347	-52.1556
40.3336	-51.8789
40.3573	-51.9207
40.3906	-51.9586
40.3311	-52.0939
41.5171	-52.776
40.2309	-51.9429
37.0376	-62.9415
37.041	-63.2561
29.2684	-36.3925
42.3934	-55.4026
42.5549	-55.04
42.5171	-55.0191
42.518	-55.1829
42.0842	-71.1339
43.1991	-68.5525
44.321	-68.4094
45.8947	-71.7059
45.8947	-71.7059
45.8947	-71.7059
44.321	-68.4094
44.0334	-60.5306
43.7094	-65.5561
43.792	-65.513
42.3934	-55.4026
40.0321	-67.1232
41.867	-52.0266
41.3775	-52.0265
40.3214	-52.0909
40.3214	-52.0909
40.3495	-52.1696
40.3584	-52.0857
41.1934	-51.6075
40.3495	-52.1696
40.347	-52.1556
40.347	-52.1556
41.1934	-51.6075
41.1934	-51.6075
40.347	-52.1556
44.0334	-60.5306
43.7094	-65.5561
43.7974	-65.5393
43.792	-65.513
44.2034	-66.2506
44.0131	-65.5564
43.0492	-63.1204
51.2648	-62.7235
31.5003	-53.5215
28.8873	-37.2521
28.7619	-37.4852
30.1739	-36.4855
29.7699	-36.0272
29.7184	-36.3643
29.7463	-36.6002
29.5297	-36.3445
29.186	-36.6568
54.8116	-62.1873
43.2375	-68.3987
44.321	-68.4094
45.8947	-71.7059
45.8947	-71.7059
45.8947	-71.7059
44.321	-68.4094
43.959	-68.1467
39.5909	-66.2703
48.1323	-67.5982
48.1323	-67.5982
46.4132	-66.7847
46.3268	-66.6206
42.4066	-70.862
45.2008	-74.0665
42.4462	-70.8648
42.0842	-71.1339
42.8732	-62.9635
43.2375	-68.3987
43.1991	-68.5525
44.321	-68.4094
43.1991	-68.5525
43.3813	-68.4756
43.8979	-68.6255
43.8547	-68.6308
43.8396	-68.5453
45.8947	-71.7059
45.8947	-71.7059
45.8947	-71.7059
45.8947	-71.7059
44.321	-68.4094
42.8039	-68.6857
46.4132	-66.7847
46.7539	-67.4674
48.1323	-67.5982
46.7539	-67.4674
48.1323	-67.5982
46.4132	-66.7847
53.9651	-59.9626
32.3228	-51.2367
32.3228	-51.2367
