Latitude	Longitude	Min_Ma	Max_Ma
-12.6088	-38.6428	136.1	143.9
-12.6088	-38.6428	136.1	143.9
-8.8086	-37.8114	136.1	143.9
-12.6088	-38.6428	130.9	140.2
-12.6088	-38.6428	142.8	143.9
-10.0575	-38.3572	142.8	143.9
-10.0055	-38.3462	142.8	143.9
-6.7465	-38.3146	142.8	143.9
-43.8636	-69.0234	101.6	118.5
-43.8636	-69.0234	101.6	118.5
-7.2916	-39.393	110.5	117.2
-7.5717	-39.1631	110.5	117.2
-5.3405	-35.6052	113	121.4
-7.2916	-39.393	117.2	123.6
-7.2275	-39.4529	121.4	125.8
-7.2275	-39.4529	121.4	125.8
-7.1761	-39.4836	121.4	125.8
-7.2916	-39.393	121.4	125.8
-8.5698	-37.7555	121.4	125.8
-7.1838	-39.7377	121.4	125.8
-7.2968	-39.3014	121.4	125.8
-7.1173	-39.6976	121.4	125.8
-7.2483	-39.453	121.4	125.8
-7.2509	-39.4287	121.4	125.8
-7.2482	-39.4468	121.4	125.8
-39.4982	-70.2848	117.2	125.8
-39.4982	-70.2848	121.4	125.8
-39.4982	-70.2848	121.4	125.8
-39.4982	-70.2848	121.4	125.8
-39.4982	-70.2848	121.4	125.8
-39.4443	-70.2151	121.4	125.8
-39.519	-69.2849	121.4	125.8
-39.519	-69.2849	121.4	125.8
-44.443	-69.9847	121.4	125.8
-39.4443	-70.2151	131	134
-12.6088	-38.6428	123.6	125.8
-12.6088	-38.6428	123.6	125.8
-12.6088	-38.6428	123.6	125.8
-8.773	-37.8212	123.6	125.8
-12.6088	-38.6428	140.2	143.9
-12.6088	-38.6428	140.2	141.9
-12.6088	-38.6428	140.2	141.9
-45.0018	-67.8313	117.2	123.6
-12.7665	-39.0121	122.8	123.6
-12.7665	-39.0121	122.8	123.6
-43.8636	-69.0234	101.6	118.5
-43.8636	-69.0234	101.6	118.5
-43.8636	-69.0234	101.6	118.5
-43.8636	-69.0234	101.6	118.5
-39.4982	-70.2848	117.2	125.8
-39.4982	-70.2848	121.4	125.8
-39.4982	-70.2848	121.4	125.8
-39.4982	-70.2848	121.4	125.8
-45.0018	-67.8313	117.2	123.6
-12.6088	-38.6428	130.9	136.1
-12.6088	-38.6428	128.5	140.2
-12.7615	-38.618	128.5	132.2
-12.3585	-38.3824	121	121.4
-43.8636	-69.0234	101.6	118.5
-12.6088	-38.6428	136.1	140.2
-12.6088	-38.6428	140.2	141.9
-12.6088	-38.6428	136.1	143.9
-12.6088	-38.6428	136.1	143.9
-12.6088	-38.6428	123.6	125.8
-6.3325	-39.2319	126.7	127.1
-12.6088	-38.6428	132.2	136.1
-12.6088	-38.6428	136.1	143.9
-10.0575	-38.3572	142.8	143.9
-10.0055	-38.3462	142.8	143.9
-12.6088	-38.6428	136.1	143.9
-12.6088	-38.6428	136.1	143.9
-12.7665	-39.0121	122.2	122.3
-13.8734	-40.0946	121	122.2
-12.6088	-38.6428	136.1	140.2
-12.6088	-38.6428	123.6	128.5
-45.0018	-67.8313	117.2	123.6
-14.3982	-39.0221	122.2	122.8
-39.4982	-70.2848	117.2	125.8
-39.4982	-70.2848	121.4	125.8
-39.4982	-70.2848	121.4	125.8
-39.519	-69.2849	121.4	125.8
-12.6088	-38.6428	128.5	132.2
-12.7615	-38.618	128.5	132.2
-12.3585	-38.3824	136.1	140.2
-12.6088	-38.6428	136.1	140.2
-45.0018	-67.8313	117.2	123.6
-43.0431	-69.1322	118.5	123.6
-12.6088	-38.6428	136.1	143.9
-12.6088	-38.6428	136.1	143.9
-12.6088	-38.6428	136.1	143.9
-12.6088	-38.6428	136.1	143.9
-12.6088	-38.6428	136.1	143.9
-12.6088	-38.6428	136.1	143.9
-39.4982	-70.2848	121.4	125.8
-39.4982	-70.2848	121.4	125.8
-39.4982	-70.2848	121.4	125.8
-12.6088	-38.6428	127.3	130.9
-12.7665	-39.0121	130.9	140.2
-12.7665	-39.0121	122.8	123.6
-12.4667	-38.8333	140.2	141.9
-45.0018	-67.8313	117.2	123.6
-12.6088	-38.6428	136.1	140.2
-45.0018	-67.8313	117.2	123.6
-43.0431	-69.1322	118.5	123.6
-45.0018	-67.8313	117.2	123.6
-43.0431	-69.1322	118.5	123.6
-6.3325	-39.2319	124.2	125.1
-6.3325	-39.2319	125.1	129
-10.0055	-38.3462	142.8	143.9
-6.7465	-38.3146	142.8	143.9
-45.0018	-67.8313	117.2	123.6
-6.3325	-39.2319	124.2	125.1
-6.3325	-39.2319	125.1	129
-12.6513	-38.5367	125.8	129.7
-12.6088	-38.6428	125.8	129.7
-12.6088	-38.6428	125.8	129.7
-12.6088	-38.6428	125.8	129.7
-12.7697	-38.4919	125.8	129.7
-12.4176	-38.204	125.8	129.7
-12.4176	-38.204	125.8	129.7
-43.0431	-69.1322	113	121.4
-38.3254	-69.8103	113	121.4
-45.0018	-67.8313	125.8	136.2
