p_lat	p_lng
-9.9823	-5.2286
-9.9823	-5.2286
-6.1293	-4.7115
-10.5376	-5.4514
-9.5594	-5.062
-6.9924	-5.0198
-6.9396	-5.0138
-3.6917	-5.2854
-47.7378	-39.3431
-47.7378	-39.3431
-9.3852	-8.4646
-9.6578	-8.2244
-6.2608	-3.5082
-7.4615	-6.9369
-6.6232	-6.9501
-6.6232	-6.9501
-6.5717	-6.9819
-6.6863	-6.8892
-7.9395	-5.2342
-6.5836	-7.2354
-6.6899	-6.7973
-6.5159	-7.1965
-6.6432	-6.9498
-6.6458	-6.9258
-6.6431	-6.9438
-39.6	-36.6266
-38.9015	-36.5153
-38.9015	-36.5153
-38.9015	-36.5153
-38.9015	-36.5153
-38.845	-36.4493
-38.886	-35.5239
-38.886	-35.5239
-43.8296	-35.894
-38.6359	-34.365
-11.8598	-6.0015
-11.8598	-6.0015
-11.8598	-6.0015
-8.0087	-5.2581
-9.724	-5.1265
-9.8502	-5.1763
-9.8502	-5.1763
-45.3447	-33.8194
-12.202	-6.4442
-12.202	-6.4442
-47.7378	-39.3431
-47.7378	-39.3431
-47.7378	-39.3431
-47.7378	-39.3431
-39.6	-36.6266
-38.9015	-36.5153
-38.9015	-36.5153
-38.9015	-36.5153
-45.3447	-33.8194
-10.7908	-5.5546
-10.686	-5.5118
-11.3287	-5.6824
-12.3085	-5.87
-47.7378	-39.3431
-10.2141	-5.321
-9.8502	-5.1763
-9.9823	-5.2286
-9.9823	-5.2286
-11.8598	-6.0015
-5.3374	-6.6572
-10.7107	-5.5218
-9.9823	-5.2286
-6.9924	-5.0198
-6.9396	-5.0138
-9.9823	-5.2286
-9.9823	-5.2286
-12.4365	-6.4702
-13.7492	-7.5389
-10.2141	-5.321
-11.6977	-5.9325
-45.3447	-33.8194
-13.9971	-6.4475
-39.6	-36.6266
-38.9015	-36.5153
-38.9015	-36.5153
-38.886	-35.5239
-11.1769	-5.7138
-11.3287	-5.6824
-9.9451	-5.0815
-10.2141	-5.321
-45.3447	-33.8194
-43.3038	-35.222
-9.9823	-5.2286
-9.9823	-5.2286
-9.9823	-5.2286
-9.9823	-5.2286
-9.9823	-5.2286
-9.9823	-5.2286
-38.9015	-36.5153
-38.9015	-36.5153
-38.9015	-36.5153
-11.329	-5.7773
-10.718	-5.8068
-12.202	-6.4442
-9.7244	-5.376
-45.3447	-33.8194
-10.2141	-5.321
-45.3447	-33.8194
-43.3038	-35.222
-45.3447	-33.8194
-43.3038	-35.222
-5.6013	-6.7158
-5.3198	-6.6533
-6.9396	-5.0138
-3.6917	-5.2854
-45.3447	-33.8194
-5.6013	-6.7158
-5.3198	-6.6533
-11.5313	-5.739
-11.4926	-5.8459
-11.4926	-5.8459
-11.4926	-5.8459
-11.6488	-5.6904
-11.288	-5.4152
-11.288	-5.4152
-44.277	-36.0619
-39.5785	-36.9615
-44.0273	-31.6184
-45.3447	-33.8194
-12.1415	-5.8582
-10.3761	-5.3861
-45.3447	-33.8194
-10.1078	-5.2785
-9.6861	-5.1116
-5.8275	-4.6295
-9.6861	-5.1116
-9.6861	-5.1116
-8.1679	-5.3041
-12.202	-6.4442
-45.3447	-33.8194
-12.3085	-5.87
-38.9015	-36.5153
-43.8296	-35.894
-10.2141	-5.321
-45.3447	-33.8194
-9.8502	-5.1763
-9.8313	-4.2263
-45.3447	-33.8194
-9.5594	-5.062
-9.5594	-5.062
-10.3472	-5.4204
-10.239	-5.331
-9.9823	-5.2286
-9.9823	-5.2286
-9.9823	-5.2286
-10.649	-5.4966
-11.5903	-6.177
-11.5903	-6.177
-6.9924	-5.0198
-3.6917	-5.2854
-3.6917	-5.2854
-38.9015	-36.5153
-38.9015	-36.5153
-38.9015	-36.5153
-43.8296	-35.894
-43.9464	-35.8857
-10.686	-5.5118
-9.4245	-5.07
-9.4245	-5.07
-9.4245	-5.07
-9.1504	-4.8372
-9.4245	-5.07
-9.4245	-5.07
-10.4569	-5.4187
-10.649	-5.4966
-10.649	-5.4966
-6.8023	-4.9116
-11.6977	-5.9325
-11.067	-5.6683
-11.067	-5.6683
-11.067	-5.6683
-10.686	-5.5118
-11.2561	-5.7468
-10.5685	-5.4639
-11.42	-5.8154
-11.42	-5.8154
-11.5758	-5.6595
-11.8957	-6.0168
-8.0454	-5.2687
-11.9358	-5.9103
-11.8957	-6.0168
-11.8957	-6.0168
-11.4563	-5.8306
-11.4949	-5.7237
-11.1769	-5.7138
-11.1769	-5.7138
-11.1769	-5.7138
-48.6859	-22.2943
-9.4245	-5.07
