Latitude	Longitude	Min_Ma	Max_Ma
-4.7898	11.8813	121.7	123.4
0.1609	10.058	140.2	141.9
-4.4528	11.7351	121.7	123.4
-4.7898	11.8813	121.7	123.4
0.1609	10.058	130.9	136.1
1.0941	23.6876	116.1	121.7
0.1609	10.058	124.8	125.8
0.1609	10.058	132.1	140.7
0.1609	10.058	140.2	141.9
9.7653	13.5311	113	125.8
-2.166	9.4905	121.7	122.5
-4.7898	11.8813	121.7	123.4
-4.7898	11.8813	121.7	123.4
-4.6646	11.7838	136.1	143.9
-4.6646	11.7838	136.1	143.9
-6.1584	17.4006	89.8	97.2
-4.7634	17.098	89.8	97.2
-2.166	9.4905	121.7	122.5
-4.7898	11.8813	121.7	123.4
0.1609	10.058	128.5	132.2
1.0941	23.6876	116.1	121.7
0.7121	20.9064	116.1	121.7
8.3725	14.5217	136.1	143.9
0.1609	10.058	122.8	123.6
0.1609	10.058	124.8	125.8
0.1609	10.058	143.3	145
0.7121	20.9064	116.1	121.7
0.7121	20.9064	116.1	121.7
0.1609	10.058	136.1	140.2
0.1609	10.058	140.2	141.9
-4.2331	11.4665	121.4	122.3
0.7121	20.9064	116.1	121.7
0.1609	10.058	134	141.9
1.0941	23.6876	116.1	121.7
0.1609	10.058	130.9	138.4
-2.166	9.4905	130.9	138.4
0.0341	24.0999	116.1	121.7
0.1609	10.058	130.9	138.4
0.1609	10.058	128.5	134
0.1609	10.058	128.5	134
0.1609	10.058	128.5	134
0.1609	10.058	132.2	138.4
0.1609	10.058	125.8	130.9
0.1609	10.058	128.5	132.2
