p_lat	p_lng
-15.9365	-3.9183
-8.4882	-3.7561
-15.5731	-3.8645
-15.9365	-3.9183
-9.3922	-3.3997
-17.0784	10.3248
-10.3741	-3.0114
-9.045	-3.5367
-8.4882	-3.7561
-5.0154	3.9503
-12.5716	-4.5668
-15.9365	-3.9183
-15.9365	-3.9183
-13.6284	-4.7845
-13.6284	-4.7845
-22.6009	5.7485
-21.1739	5.7767
-12.5716	-4.5668
-15.9365	-3.9183
-9.7694	-3.2507
-17.0784	10.3248
-16.2053	7.5395
-3.8431	4.3722
-10.6255	-2.9118
-10.3741	-3.0114
-8.117	-3.9022
-16.2053	7.5395
-16.2053	7.5395
-8.8354	-3.6193
-8.4882	-3.7561
-15.4251	-3.9033
-16.2053	7.5395
-8.8594	-3.6099
-17.0784	10.3248
-9.2545	-3.454
-10.9397	-5.1828
-18.2125	10.2357
-9.2545	-3.454
-9.6616	-3.2933
-9.6616	-3.2933
-9.6616	-3.2933
-9.1767	-3.4847
-10.0089	-3.156
-9.7694	-3.2507
