Occurrence_Number	Taxon_name	Latitude	Longitude	Paleo_Latitude	Paleo_Longitude	Min_Ma	Max_Ma	Original_Assignment
1	Cypridea aaleyensis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf
2	Cypridea aaleyensis	33.8101	35.7675	8.6958	32.2706	117.2	125.8	NAf
3	Cypridea aaleyensis	33.7806	35.7219	8.6845	32.2241	117.2	125.8	NAf
4	Cypridea aaleyensis	33.7071	35.6737	8.633	32.1569	117.2	125.8	NAf
5	Cypridea aaleyensis	33.5594	35.5408	8.5426	31.9939	117.2	125.8	NAf
6	Cypridea aaleyensis	33.5409	35.5864	8.5109	32.0211	117.2	125.8	NAf
7	Cypridea aaleyensis	31.6441	34.6654	7.2935	30.5669	121.4	132.6	NAf
8	Cypridea ahlmadoensis	11.0404	49.0755	-15.1644	36.5338	117.2	121.4	NAf_Som
9	Cypridea baidarensis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf
10	Cypridea baidarensis	33.8101	35.7675	8.6958	32.2706	117.2	125.8	NAf
11	Cypridea baidarensis	33.7806	35.7219	8.6845	32.2241	117.2	125.8	NAf
12	Cypridea baidarensis	33.5409	35.5864	8.5109	32.0211	117.2	125.8	NAf
13	Cypridea baidarensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf
14	Cypridea baidarensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf
15	Cypridea boulmanensis	31.9689	-6.2738	22.9258	-0.8605	113	121.4	NAf
16	Cypridea cyrtorostralis	34.4295	9.5128	19.5681	13.6925	121.4	129.2	NAf
17	Cypridea daoudensis	31.1726	-7.935	24.4496	-1.8145	123.6	129.2	NAf
18	Cypridea daoudensis	31.1726	-7.935	24.4496	-1.8145	123.6	129.2	NAf
19	Cypridea demnatensis	31.7183	-6.8934	27.0225	-2.1946	149.2	154.8	NAf
20	Cypridea garurensis	11.0404	49.0755	-15.1644	36.5338	117.2	121.4	NAf_Som
21	Cypridea granulosa	33.4099	-4.3012	26.2776	1.2842	140.2	145	NAf
22	Cypridea granulosa	33.4099	-4.3012	26.2776	1.2842	140.2	145	NAf
23	Cypridea granulosa	33.4099	-4.3012	26.2776	1.2842	140.2	145	NAf
24	Cypridea granulosa	33.4099	-4.3012	26.2776	1.2842	140.2	145	NAf
25	Cypridea heliopolisensis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf
26	Cypridea heliopolisensis	33.8101	35.7675	8.6958	32.2706	117.2	125.8	NAf
27	Cypridea heliopolisensis	33.7071	35.6737	8.633	32.1569	117.2	125.8	NAf
28	Cypridea heliopolisensis	33.5594	35.5408	8.5426	31.9939	117.2	125.8	NAf
29	Cypridea heliopolisensis	33.5409	35.5864	8.5109	32.0211	117.2	125.8	NAf
30	Cypridea heliopolisensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf
31	Cypridea heliopolisensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf
32	Cypridea laevigata	33.4099	-4.3012	25.756	1.5148	132.6	141.6	NAf
33	Cypridea laevigata	33.4099	-4.3012	25.756	1.5148	132.6	141.6	NAf
34	Cypridea libanensis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf
35	Cypridea libanensis	33.8101	35.7675	8.6958	32.2706	117.2	125.8	NAf
36	Cypridea libanensis	33.7806	35.7219	8.6845	32.2241	117.2	125.8	NAf
37	Cypridea libanensis	33.7071	35.6737	8.633	32.1569	117.2	125.8	NAf
38	Cypridea libanensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf
39	Cypridea libanensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf
40	Cypridea libanensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf
41	Cypridea libanensis	31.6441	34.6654	7.2935	30.5669	121.4	132.6	NAf
42	Cypridea mohandi	31.7183	-6.8934	27.4236	-2.348	149.2	161.5	NAf
43	Cypridea mohandi	31.7183	-6.8934	27.0225	-2.1946	149.2	154.8	NAf
44	Cypridea mohandi	31.7183	-6.8934	27.0225	-2.1946	149.2	154.8	NAf
45	Cypridea orientalis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf
46	Cypridea orientalis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf
47	Cypridea propunctata	33.4099	-4.3012	26.0879	1.368	139.5	141.7	NAf
48	Cypridea propunctata	33.4099	-4.3012	26.0879	1.368	139.5	141.7	NAf
49	Cypridea quadrangulata	35.1164	10.8526	18.2552	12.8184	110.8	111.4	NAf
50	Cypridea quadrangulata	33.7806	35.7219	8.6845	32.2241	117.2	125.8	NAf
51	Cypridea quadrangulata	33.7071	35.6737	8.633	32.1569	117.2	125.8	NAf
52	Cypridea quadrangulata	33.5409	35.5864	8.5109	32.0211	117.2	125.8	NAf
53	Cypridea rhahelensis	31.1726	-7.935	24.4496	-1.8145	123.6	129.2	NAf
54	Cypridea rhahelensis	31.1726	-7.935	24.4496	-1.8145	123.6	129.2	NAf
55	Cypridea sidonensis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf
56	Cypridea sidonensis	33.8101	35.7675	8.6958	32.2706	117.2	125.8	NAf
57	Cypridea tayasirensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf
58	Cypridea tayasirensis	31.5796	34.6565	7.2386	30.5329	121.4	132.6	NAf
59	Cypridea tayasirensis	32.3503	35.5477	6.4234	30.675	121.4	132.6	NAf
60	Cypridea tenuis	35.1667	9.5833	19.8115	14.3371	121.4	124.1	NAf
