Occurrence_Number	Taxon_name	Latitude	Longitude	Paleo_Latitude	Paleo_Longitude	Min_Ma	Max_Ma	Original_Assignment	region	globe
1	Cypridea_aaleyensis	33.7806	35.7219	8.6845	32.2241	117.2	125.8	NAf	NAfEu	Global
2	Cypridea_aaleyensis	33.7071	35.6737	8.633	32.1569	117.2	125.8	NAf	NAfEu	Global
3	Cypridea_aaleyensis	33.8101	35.7675	8.6958	32.2706	117.2	125.8	NAf	NAfEu	Global
4	Cypridea_aaleyensis	33.5409	35.5864	8.5109	32.0211	117.2	125.8	NAf	NAfEu	Global
5	Cypridea_aaleyensis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf	NAfEu	Global
6	Cypridea_aaleyensis	33.5594	35.5408	8.5426	31.9939	117.2	125.8	NAf	NAfEu	Global
7	Cypridea_aaleyensis	31.6441	34.6654	7.2935	30.5669	121.4	132.6	NAf	NAfEu	Global
8	Cypridea_ahlmadoensis	11.0404	49.0755	-15.1644	36.5338	117.2	121.4	NAf	NA	Global
9	Cypridea_baidarensis	33.7806	35.7219	8.6845	32.2241	117.2	125.8	NAf	NAfEu	Global
10	Cypridea_baidarensis	33.5409	35.5864	8.5109	32.0211	117.2	125.8	NAf	NAfEu	Global
11	Cypridea_baidarensis	33.8101	35.7675	8.6958	32.2706	117.2	125.8	NAf	NAfEu	Global
12	Cypridea_baidarensis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf	NAfEu	Global
13	Cypridea_baidarensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf	NAfEu	Global
14	Cypridea_baidarensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf	NAfEu	Global
15	Cypridea_boulmanensis	31.9689	-6.2738	22.9258	-0.8605	113	121.4	NAf	NAfEu	NA
16	Cypridea_cyrtorostralis	34.4295	9.5128	19.5681	13.6925	121.4	129.2	NAf	NA	NA
17	Cypridea_daoudensis	31.1726	-7.935	24.4496	-1.8145	123.6	129.2	NAf	NAfEu	NA
18	Cypridea_daoudensis	31.1726	-7.935	24.4496	-1.8145	123.6	129.2	NAf	NAfEu	NA
19	Cypridea_demnatensis	31.7183	-6.8934	27.0225	-2.1946	149.2	154.8	NAf	NAfEu	Global
20	Cypridea_garurensis	11.0404	49.0755	-15.1644	36.5338	117.2	121.4	NAf	NA	Global
21	Cypridea_granulosa	33.4099	-4.3012	26.2776	1.2842	140.2	145	NAf	NAfEu	NA
22	Cypridea_granulosa	33.4099	-4.3012	26.2776	1.2842	140.2	145	NAf	NAfEu	NA
23	Cypridea_granulosa	33.4099	-4.3012	26.2776	1.2842	140.2	145	NAf	NAfEu	NA
24	Cypridea_granulosa	33.4099	-4.3012	26.2776	1.2842	140.2	145	NAf	NAfEu	NA
25	Cypridea_heliopolisensis	33.7071	35.6737	8.633	32.1569	117.2	125.8	NAf	NAfEu	Global
26	Cypridea_heliopolisensis	33.8101	35.7675	8.6958	32.2706	117.2	125.8	NAf	NAfEu	Global
27	Cypridea_heliopolisensis	33.5409	35.5864	8.5109	32.0211	117.2	125.8	NAf	NAfEu	Global
28	Cypridea_heliopolisensis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf	NAfEu	Global
29	Cypridea_heliopolisensis	33.5594	35.5408	8.5426	31.9939	117.2	125.8	NAf	NAfEu	Global
30	Cypridea_heliopolisensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf	NAfEu	Global
31	Cypridea_heliopolisensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf	NAfEu	Global
32	Cypridea_laevigata	33.4099	-4.3012	25.756	1.5148	132.6	141.6	NAf	NAfEu	NA
33	Cypridea_laevigata	33.4099	-4.3012	25.756	1.5148	132.6	141.6	NAf	NAfEu	NA
34	Cypridea_libanensis	33.7806	35.7219	8.6845	32.2241	117.2	125.8	NAf	NAfEu	Global
35	Cypridea_libanensis	33.7071	35.6737	8.633	32.1569	117.2	125.8	NAf	NAfEu	Global
36	Cypridea_libanensis	33.8101	35.7675	8.6958	32.2706	117.2	125.8	NAf	NAfEu	Global
37	Cypridea_libanensis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf	NAfEu	Global
38	Cypridea_libanensis	31.6441	34.6654	7.2935	30.5669	121.4	132.6	NAf	NAfEu	Global
39	Cypridea_libanensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf	NAfEu	Global
40	Cypridea_libanensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf	NAfEu	Global
41	Cypridea_libanensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf	NAfEu	Global
42	Cypridea_mohandi	31.7183	-6.8934	27.0225	-2.1946	149.2	154.8	NAf	NAfEu	Global
43	Cypridea_mohandi	31.7183	-6.8934	27.4236	-2.348	149.2	161.5	NAf	NAfEu	Global
44	Cypridea_mohandi	31.7183	-6.8934	27.0225	-2.1946	149.2	154.8	NAf	NAfEu	Global
45	Cypridea_orientalis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf	NAfEu	Global
46	Cypridea_orientalis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf	NAfEu	Global
47	Cypridea_propunctata	33.4099	-4.3012	26.0879	1.368	139.5	141.7	NAf	NAfEu	NA
48	Cypridea_propunctata	33.4099	-4.3012	26.0879	1.368	139.5	141.7	NAf	NAfEu	NA
49	Cypridea_quadrangulata	35.1164	10.8526	18.2552	12.8184	110.8	111.4	NAf	NAfEu	Global
50	Cypridea_quadrangulata	33.7806	35.7219	8.6845	32.2241	117.2	125.8	NAf	NAfEu	Global
51	Cypridea_quadrangulata	33.7071	35.6737	8.633	32.1569	117.2	125.8	NAf	NAfEu	Global
52	Cypridea_quadrangulata	33.5409	35.5864	8.5109	32.0211	117.2	125.8	NAf	NAfEu	Global
53	Cypridea_rhahelensis	31.1726	-7.935	24.4496	-1.8145	123.6	129.2	NAf	NAfEu	NA
54	Cypridea_rhahelensis	31.1726	-7.935	24.4496	-1.8145	123.6	129.2	NAf	NAfEu	NA
55	Cypridea_sidonensis	33.8101	35.7675	8.6958	32.2706	117.2	125.8	NAf	NAfEu	Global
56	Cypridea_sidonensis	33.7814	35.5953	8.7272	32.1265	117.2	125.8	NAf	NAfEu	Global
57	Cypridea_tayasirensis	31.5796	34.6565	7.2386	30.5329	121.4	132.6	NAf	NAfEu	Global
58	Cypridea_tayasirensis	33.1703	35.5506	8.3531	31.908	121.4	132.6	NAf	NAfEu	Global
59	Cypridea_tayasirensis	32.3503	35.5477	6.4234	30.675	121.4	132.6	NAf	NAfEu	Global
60	Cypridea_tenuis	35.1667	9.5833	19.8115	14.3371	121.4	124.1	NAf	NA	NA
61	Cypridea_tumescens	33.4099	-4.3012	26.4826	1.0139	141.9	147.1	NAf	NAfEu	NA
62	Cypridea_tumescens	33.4099	-4.3012	26.4826	1.0139	141.9	147.1	NAf	NAfEu	NA
63	Cypridea_ventriosa	35.1164	10.8526	18.9522	14.5756	117.2	121.4	NAf	NAfEu	NA
64	Praecypridea_suprajurassica	31.7183	-6.8934	27.4236	-2.348	149.2	161.5	NAf	NAfEu	Global
65	Praecypridea_suprajurassica	31.7183	-6.8934	27.4236	-2.348	149.2	161.5	NAf	NAfEu	Global
66	Praecypridea_suprajurassica	31.7183	-6.8934	27.4236	-2.348	149.2	161.5	NAf	NAfEu	Global
67	Praecypridea_suprajurassica	31.7183	-6.8934	27.4236	-2.348	149.2	161.5	NAf	NAfEu	Global
68	Praecypridea_suprajurassica	31.7183	-6.8934	27.4236	-2.348	149.2	161.5	NAf	NAfEu	Global
69	Cypridea_bapounou	-4.7898	11.8813	-15.9365	-3.9183	121.7	123.4	WAf	NA	NA
70	Cypridea_candeiensis	0.1609	10.058	-8.4882	-3.7561	140.2	141.9	WAf	WAfSAm	NA
71	Cypridea_deklaszi	-4.4528	11.7351	-15.5731	-3.8645	121.7	123.4	WAf	NA	NA
72	Cypridea_deklaszi	-4.7898	11.8813	-15.9365	-3.9183	121.7	123.4	WAf	NA	NA
73	Cypridea_dromedarius	0.1609	10.058	-9.3922	-3.3997	130.9	136.1	WAf	WAfSAm	NA
74	Cypridea_elisabethaensis	1.0941	23.6876	-17.0784	10.3248	116.1	121.7	WAf	WAfSAm	NA
75	Cypridea_eminens	0.1609	10.058	-10.3741	-3.0114	124.8	125.8	WAf	WAfSAm	NA
76	Cypridea_gabonensis	0.1609	10.058	-9.045	-3.5367	132.1	140.7	WAf	WAfSAm	NA
77	Cypridea_hadronodosa	0.1609	10.058	-8.4882	-3.7561	140.2	141.9	WAf	WAfSAm	NA
78	Cypridea_hamakoussouensis	9.7653	13.5311	-5.0154	3.9503	113	125.8	WAf	WAfSAm	NA
79	Cypridea_hollensis	-2.166	9.4905	-12.5716	-4.5668	121.7	122.5	WAf	NA	NA
80	Cypridea_hollensis	-4.7898	11.8813	-15.9365	-3.9183	121.7	123.4	WAf	NA	NA
81	Cypridea_hollensis	-4.7898	11.8813	-15.9365	-3.9183	121.7	123.4	WAf	NA	NA
82	Cypridea_indiennensis	-4.6646	11.7838	-13.6284	-4.7845	136.1	143.9	WAf	WAfSAm	Global
83	Cypridea_indiennensis	-4.6646	11.7838	-13.6284	-4.7845	136.1	143.9	WAf	WAfSAm	Global
84	Cypridea_kitariensis	-6.1584	17.4006	-22.6009	5.7485	89.8	97.2	WAf	WAfSAm	Global
85	Cypridea_kitariensis	-4.7634	17.098	-21.1739	5.7767	89.8	97.2	WAf	WAfSAm	Global
86	Cypridea_loango	-2.166	9.4905	-12.5716	-4.5668	121.7	122.5	WAf	NA	NA
87	Cypridea_loango	-4.7898	11.8813	-15.9365	-3.9183	121.7	123.4	WAf	NA	NA
88	Cypridea_lunula	0.1609	10.058	-9.7694	-3.2507	128.5	132.2	WAf	WAfSAm	NA
89	Cypridea_maringaensis	1.0941	23.6876	-17.0784	10.3248	116.1	121.7	WAf	WAfSAm	NA
90	Cypridea_maringaensis	0.7121	20.9064	-16.2053	7.5395	116.1	121.7	WAf	WAfSAm	NA
91	Cypridea_minuscula	8.3725	14.5217	-3.8431	4.3722	136.1	143.9	WAf	WAfSAm	NA
92	Cypridea_nannorostrata	0.1609	10.058	-10.6255	-2.9118	122.8	123.6	WAf	NA	NA
93	Cypridea_ogowensis	0.1609	10.058	-10.3741	-3.0114	124.8	125.8	WAf	WAfSAm	NA
94	Cypridea_primaria	0.1609	10.058	-8.117	-3.9022	143.3	145	WAf	WAfSAm	NA
95	Cypridea_quarta	0.7121	20.9064	-16.2053	7.5395	116.1	121.7	WAf	WAfSAm	NA
96	Cypridea_sambaensis	0.7121	20.9064	-16.2053	7.5395	116.1	121.7	WAf	WAfSAm	NA
97	Cypridea_subtilis	0.1609	10.058	-8.8354	-3.6193	136.1	140.2	WAf	WAfSAm	NA
98	Cypridea_suspecta	0.1609	10.058	-8.4882	-3.7561	140.2	141.9	WAf	WAfSAm	NA
99	Cypridea_tchibodaensis	-4.2331	11.4665	-15.4251	-3.9033	121.4	122.3	WAf	NA	NA
100	Cypridea_tertia	0.7121	20.9064	-16.2053	7.5395	116.1	121.7	WAf	WAfSAm	NA
101	Cypridea_tucanoensis	0.1609	10.058	-8.8594	-3.6099	134	141.9	WAf	WAfSAm	NA
102	Cypridea_ultima	1.0941	23.6876	-17.0784	10.3248	116.1	121.7	WAf	WAfSAm	NA
103	Cypridea_ventronodata	0.1609	10.058	-9.2545	-3.454	130.9	138.4	WAf	WAfSAm	NA
104	Cypridea_ventronodata	-2.166	9.4905	-10.9397	-5.1828	130.9	138.4	WAf	WAfSAm	NA
105	Cypridea_yakokoensis	0.0341	24.0999	-18.2125	10.2357	116.1	121.7	WAf	WAfSAm	NA
106	Paracypridea_brasiliensis	0.1609	10.058	-9.2545	-3.454	130.9	138.4	WAf	WAfSAm	NA
107	Paracypridea_elegans	0.1609	10.058	-9.6616	-3.2933	128.5	134	WAf	WAfSAm	NA
108	Paracypridea_elegans	0.1609	10.058	-9.6616	-3.2933	128.5	134	WAf	WAfSAm	NA
109	Paracypridea_elegans	0.1609	10.058	-9.6616	-3.2933	128.5	134	WAf	WAfSAm	NA
110	Paracypridea_maacki	0.1609	10.058	-9.1767	-3.4847	132.2	138.4	WAf	WAfSAm	NA
111	Paracypridea_obovata	0.1609	10.058	-10.0089	-3.156	125.8	130.9	WAf	WAfSAm	NA
112	Paracypridea_similis	0.1609	10.058	-9.7694	-3.2507	128.5	132.2	WAf	WAfSAm	NA
113	Cypridea_brevicornis	42.5542	-110.8076	43.2375	-68.3987	105	110	NAm	NA	Global
114	Cypridea_brevicornis	42.4917	-110.9449	43.1991	-68.5525	105	110	NAm	NA	Global
115	Cypridea_brevicornis	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
116	Cypridea_brevicornis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
117	Cypridea_brevicornis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
118	Cypridea_brevicornis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
119	Cypridea_brevicornis	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
120	Cypridea_compta	43.7987	-107.0654	44.0334	-60.5306	98	124	NAm	NA	Global
121	Cypridea_compta	42.8763	-108.7997	43.7974	-65.5393	98	124	NAm	NA	Global
122	Cypridea_compta	42.0851	-110.9571	42.0842	-71.1339	99	105	NAm	NA	Global
123	Cypridea_compta	42.7728	-107.2523	42.8732	-62.9635	105	110	NAm	NA	NA
124	Cypridea_compta	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
125	Cypridea_compta	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
