age	pCO2_Foster
0.00	276.01
0.50	275.73
1.00	287.21
1.50	290.03
2.00	295.99
2.50	298.02
3.00	299.35
3.50	302.99
4.00	298.33
4.50	300.00
5.00	302.58
5.50	316.98
6.00	319.11
6.50	320.22
7.00	321.30
7.50	323.48
8.00	307.94
8.50	307.34
9.00	305.75
9.50	303.88
10.00	301.66
10.50	299.40
11.00	302.28
11.50	304.17
12.00	302.62
12.50	301.76
13.00	302.03
13.50	302.88
14.00	306.53
14.50	306.58
15.00	311.09
15.50	308.28
16.00	309.27
16.50	311.35
17.00	314.57
17.50	317.72
18.00	318.43
18.50	322.31
19.00	329.95
19.50	338.28
20.00	347.04
20.50	353.00
21.00	357.73
21.50	353.38
22.00	364.28
22.50	386.96
23.00	405.42
23.50	422.13
24.00	442.57
24.50	467.05
25.00	489.12
25.50	497.88
26.00	518.95
26.50	542.70
27.00	571.25
27.50	595.24
28.00	611.44
28.50	631.02
29.00	648.54
29.50	673.59
30.00	693.51
30.50	740.87
31.00	763.85
31.50	803.95
32.00	836.26
32.50	857.90
33.00	867.91
33.50	881.50
34.00	896.72
34.50	893.53
35.00	904.18
35.50	904.32
36.00	900.70
36.50	894.77
37.00	894.98
37.50	886.26
38.00	860.04
38.50	841.87
39.00	814.58
39.50	795.57
40.00	768.22
40.50	794.57
41.00	766.13
41.50	749.27
42.00	736.23
42.50	717.84
43.00	723.59
43.50	701.63
44.00	732.40
44.50	751.41
45.00	768.61
45.50	777.06
46.00	790.45
46.50	802.80
47.00	817.34
47.50	833.98
48.00	811.38
48.50	850.04
49.00	853.41
49.50	843.32
50.00	827.61
50.50	812.64
51.00	786.20
51.50	755.57
52.00	730.23
52.50	744.05
53.00	726.72
53.50	701.62
54.00	669.94
54.50	636.54
55.00	604.41
55.50	577.47
56.00	565.49
56.50	535.85
57.00	497.39
57.50	455.74
58.00	417.94
58.50	390.44
59.00	380.40
59.50	364.39
60.00	350.14
60.50	336.38
61.00	328.65
61.50	315.58
62.00	309.78
62.50	304.22
63.00	288.17
63.50	275.40
64.00	261.70
64.50	256.67
65.00	244.44
65.50	235.40
66.00	228.84
66.50	238.80
67.00	247.76
67.50	245.15
68.00	244.28
68.50	247.71
69.00	261.65
69.50	278.05
70.00	304.07
70.50	334.70
71.00	345.49
71.50	355.69
72.00	369.23
72.50	397.26
73.00	435.21
73.50	454.20
74.00	487.96
74.50	515.38
75.00	559.27
75.50	584.05
76.00	611.01
76.50	624.52
77.00	649.32
77.50	680.95
78.00	714.54
78.50	696.89
79.00	692.48
79.50	685.23
80.00	675.53
80.50	677.98
81.00	659.94
81.50	668.49
82.00	683.89
82.50	699.49
83.00	680.80
83.50	634.30
84.00	623.45
84.50	614.81
85.00	619.42
85.50	629.72
86.00	611.63
86.50	601.04
87.00	574.15
87.50	574.37
88.00	558.55
88.50	498.70
89.00	477.51
89.50	455.56
90.00	450.16
90.50	473.13
91.00	481.15
91.50	479.48
92.00	462.19
92.50	467.86
93.00	496.03
93.50	522.13
94.00	535.30
94.50	568.52
95.00	596.80
95.50	609.86
96.00	622.05
96.50	650.13
97.00	691.83
97.50	730.74
98.00	777.35
98.50	814.98
99.00	805.80
99.50	833.61
100.00	862.05
100.50	898.53
101.00	945.01
101.50	965.86
102.00	986.66
102.50	1006.27
103.00	1013.91
103.50	1012.72
104.00	1027.05
104.50	1040.37
105.00	1046.47
105.50	1019.65
106.00	1037.44
106.50	1033.25
107.00	1028.16
107.50	1039.07
108.00	1040.79
108.50	1055.28
109.00	1058.74
109.50	1069.77
110.00	1110.78
110.50	1112.36
111.00	1148.07
111.50	1171.66
112.00	1084.42
112.50	1095.61
113.00	1194.91
113.50	1207.55
114.00	1123.15
114.50	1112.02
115.00	1107.09
115.50	1102.52
116.00	1103.25
116.50	1093.39
117.00	1077.79
117.50	1155.01
118.00	1132.44
118.50	1109.51
119.00	1085.07
119.50	1065.49
120.00	1035.66
120.50	1016.73
121.00	1004.47
121.50	990.70
122.00	983.18
122.50	968.78
123.00	987.36
123.50	931.03
124.00	878.83
124.50	861.74
125.00	856.72
125.50	867.26
126.00	899.52
126.50	935.43
127.00	925.84
127.50	856.06
128.00	848.35
128.50	836.78
129.00	846.83
129.50	913.11
130.00	935.09
130.50	950.58
131.00	906.95
131.50	879.94
132.00	886.48
132.50	892.13
133.00	909.10
133.50	925.75
134.00	949.64
134.50	972.22
135.00	983.04
135.50	993.36
136.00	1003.59
136.50	1024.47
137.00	1011.73
137.50	1014.20
138.00	1007.19
138.50	991.33
139.00	947.70
139.50	919.17
140.00	906.23
140.50	890.40
141.00	848.21
141.50	841.34
142.00	831.85
142.50	831.68
143.00	738.70
143.50	725.03
144.00	664.43
144.50	651.10
145.00	713.01
145.50	742.41
146.00	766.99
146.50	754.86
147.00	746.00
147.50	737.93
148.00	725.33
148.50	717.12
149.00	738.03
149.50	717.24
150.00	703.38
150.50	824.47
151.00	834.46
151.50	799.60
152.00	812.24
152.50	809.92
153.00	815.46
153.50	827.93
154.00	813.72
154.50	807.17
155.00	794.32
155.50	756.06
156.00	722.07
156.50	897.28
157.00	858.14
157.50	835.77
158.00	822.84
158.50	814.67
159.00	797.35
159.50	796.50
160.00	795.33
160.50	782.89
161.00	785.35
161.50	793.06
162.00	775.16
162.50	785.09
163.00	771.41
163.50	881.36
164.00	855.45
164.50	861.99
165.00	871.25
165.50	877.20
166.00	895.90
166.50	929.99
167.00	974.75
167.50	1004.32
168.00	1011.74
168.50	1029.62
169.00	1045.27
169.50	1041.41
170.00	1037.52
170.50	1029.03
171.00	1071.40
171.50	1064.67
172.00	1048.07
172.50	1043.98
173.00	1040.97
173.50	1027.70
174.00	1022.63
174.50	1018.11
175.00	1015.82
175.50	1012.49
176.00	1020.94
176.50	1015.73
177.00	1008.42
177.50	999.39
178.00	998.07
178.50	983.26
179.00	971.06
179.50	941.81
180.00	909.50
180.50	908.94
181.00	912.62
181.50	926.38
182.00	920.92
182.50	921.06
183.00	895.84
183.50	896.31
184.00	923.15
184.50	859.47
185.00	956.90
185.50	965.18
186.00	945.03
186.50	950.25
187.00	947.85
187.50	952.48
188.00	972.15
188.50	985.24
189.00	1005.13
189.50	1074.93
190.00	1111.68
190.50	1156.62
191.00	1196.72
191.50	1246.89
192.00	1345.54
192.50	1436.28
193.00	1466.45
193.50	1449.82
194.00	1740.76
