age	BN_Global
81	36532
82	36141.7877418172
83	35800.4412959984
84	35503.3749807255
85	35246.0031141803
86	35023.7400145445
87	34832
88	34665.9842100086
89	34520.0410691515
90	34388.3058232902
91	34264.9137182859
92	34144
93	34020.7851877778
94	33894.8308949009
95	33766.7840081351
96	33637.2914142463
97	33507
98	33378.1876616718
99	33259.6563335761
100	33161.838959537
101	33095.1684833785
102	33070.0778489248
103	33097
104	33170.704203302
105	33223.3050170244
106	33171.2533222346
107	32931
108	32451.8398679824
109	31814.4434902209
110	31132.3253673489
111	30519
112	30065.0917126614
113	29769.6641252357
114	29608.8906814793
115	29558.9448251486
116	29596
117	29696.4376796311
118	29837.4714570045
119	29996.5229549243
120	30151.0137961942
121	30278.3656036181
122	30356
123	30369.0892672284
124	30333.8083235307
125	30274.0827462187
126	30213.8381126045
127	30177
128	30180.2248559372
129	30211.0926088282
130	30249.9140573051
131	30277
132	30275.7950349141
133	30242.2789575247
134	30175.5653626783
135	30074.7678452213
136	29939
137	29770.0310822451
138	29580.2529887237
139	29384.7132765872
140	29198.4595029868
141	29036.539225074
142	28914
143	28840.1433029412
144	28801.286281174
145	28778
146	28753.5589061695
147	28722.0509722291
148	28680.2675521741
149	28625
150	28554.5047449976
151	28472.8985176393
152	28385.7631236927
153	28298.6803689255
154	28217.2320591053
155	28147
156	28090.8664240406
157	28040.9152703123
158	27986.5309045637
159	27917.0976925434
160	27822
161	27694.526215637
162	27543.5808199776
163	27381.9723164996
164	27222.5092086811
165	27078
166	26957.2798308395
167	26853.2903892032
168	26755
169	26652.6551839872
170	26541.6152453163
171	26418.5176839872
172	26280
