age	pCO2_Foster
0	276.01
1	287.21
2	295.99
3	299.35
4	298.33
5	302.58
6	319.11
7	321.3
8	307.94
9	305.75
10	301.66
11	302.28
12	302.62
13	302.03
14	306.53
15	311.09
16	309.27
17	314.57
18	318.43
19	329.95
20	347.04
21	357.73
22	364.28
23	405.42
24	442.57
25	489.12
26	518.95
27	571.25
28	611.44
29	648.54
30	693.51
31	763.85
32	836.26
33	867.91
34	896.72
35	904.18
36	900.7
37	894.98
38	860.04
39	814.58
40	768.22
41	766.13
42	736.23
43	723.59
44	732.4
45	768.61
46	790.45
47	817.34
48	811.38
49	853.41
50	827.61
51	786.2
52	730.23
53	726.72
54	669.94
55	604.41
56	565.49
57	497.39
58	417.94
59	380.4
60	350.14
61	328.65
62	309.78
63	288.17
64	261.7
65	244.44
66	228.84
67	247.76
68	244.28
69	261.65
70	304.07
71	345.49
72	369.23
73	435.21
74	487.96
75	559.27
76	611.01
77	649.32
78	714.54
79	692.48
80	675.53
81	659.94
82	683.89
83	680.8
84	623.45
85	619.42
86	611.63
87	574.15
88	558.55
89	477.51
90	450.16
91	481.15
92	462.19
93	496.03
94	535.3
95	596.8
96	622.05
97	691.83
98	777.35
99	805.8
100	862.05
101	945.01
102	986.66
103	1013.91
104	1027.05
105	1046.47
106	1037.44
107	1028.16
108	1040.79
109	1058.74
110	1110.78
111	1148.07
112	1084.42
113	1194.91
114	1123.15
115	1107.09
116	1103.25
117	1077.79
118	1132.44
119	1085.07
120	1035.66
121	1004.47
122	983.18
123	987.36
124	878.83
125	856.72
126	899.52
127	925.84
128	848.35
129	846.83
130	935.09
131	906.95
132	886.48
133	909.1
134	949.64
135	983.04
136	1003.59
137	1011.73
138	1007.19
139	947.7
140	906.23
141	848.21
142	831.85
143	738.7
144	664.43
145	713.01
146	766.99
147	746
148	725.33
149	738.03
150	703.38
151	834.46
152	812.24
153	815.46
154	813.72
155	794.32
156	722.07
157	858.14
158	822.84
159	797.35
160	795.33
161	785.35
162	775.16
163	771.41
164	855.45
165	871.25
166	895.9
167	974.75
168	1011.74
169	1045.27
170	1037.52
171	1071.4
172	1048.07
173	1040.97
174	1022.63
175	1015.82
176	1020.94
177	1008.42
178	998.07
179	971.06
180	909.5
181	912.62
182	920.92
183	895.84
184	923.15
185	956.9
186	945.03
187	947.85
188	972.15
189	1005.13
190	1111.68
191	1196.72
192	1345.54
193	1466.45
194	1740.76
195	1796.57
196	1783.74
197	1768.36
198	1767.68
199	1725.17
200	1732.56
201	1723.92
202	1689.51
203	1521.18
204	1583.01
205	1492.68
206	1543.67
207	1505.03
208	1368.3
209	1277.87
210	1206.6
211	1178.39
212	1172.91
213	1231.62
214	1207.79
215	1339.32
216	1381.16
217	1439.63
218	1501.04
219	1552.4
220	1599.29
221	1660.23
222	1776.13
223	1854.49
224	1955.25
225	2131.92
226	2073.2
227	2059.04
228	2082.91
229	1989.51
230	1938.98
231	1767.46
232	1613.52
233	1518.27
234	1478.47
235	1398.8
236	1300.84
237	1210.03
238	1204.76
239	1110.06
240	532.66
241	532.54
242	491.72
243	388.88
244	424.25
245	420.96
246	429.51
247	490.73
248	615.49
249	691.14
250	772.38
251	825.97
252	878.74
253	856.32
254	868.96
255	849.85
256	810.9
257	727.6
258	637.31
259	580.34
260	535.64
261	461.03
262	373.08
263	344.77
264	356.78
265	320.41
266	321.19
267	308.8
268	301.88
269	325.45
270	325.11
271	337.61
272	389.79
273	443.77
274	525.87
275	555.97
276	560.26
277	583.06
278	611.66
279	665.83
280	690.31
281	651.44
282	625.92
283	610.6
284	610.79
285	596.6
286	642.91
287	616.91
288	562.52
289	555.52
290	545.09
291	549.54
292	518.39
293	479.8
294	436.08
295	404.65
296	399.84
297	444.7
298	458.31
299	451.66
300	408.82
301	383.28
302	415.97
303	400.31
304	370.49
305	352.46
306	365
307	377.01
308	342.73
309	335.51
310	351.73
311	338.07
312	341.09
313	329.22
314	319.46
315	328.59
316	335.45
317	355.25
318	341.63
319	325.74
320	336.78
321	340.63
322	331.15
323	333.29
324	355.61
325	339.44
326	352.07
327	316.52
328	303.27
329	291.55
330	260.02
331	296.25
332	300.26
333	262.84
334	216.78
335	219.25
336	268.43
337	231.43
338	226.56
339	238.15
340	299.46
341	321.74
342	331.21
343	489.35
344	564.74
345	522.39
346	510.03
347	542.51
348	585.47
349	644.64
350	647.81
351	681.12
352	699.26
353	579.88
354	588.87
355	589.04
356	583.12
357	585.7
358	572.86
359	590.22
360	699.76
361	704.84
362	637.95
363	803.6
364	851.18
365	832.07
366	776.76
367	800.26
368	797.64
369	809.75
370	810.78
371	840.04
372	935.36
373	956.91
374	983.06
375	1052.02
376	1253.4
377	1335.43
378	1363.35
379	1271.95
380	1269.38
381	1104.42
382	1053.5
383	1136.65
384	1220.28
385	1407.4
386	1264.56
387	1176.16
388	1064.6
389	1017.44
390	1128.63
391	1000
392	985.51
393	1046.21
394	1113.5
395	1296.84
396	1709.91
397	1788.11
398	1809.43
399	1826.32
400	1731
401	1828.25
402	1845.38
403	1830.65
404	1848.39
405	1689.11
406	1793.02
407	2017.43
408	2034.54
409	2159.74
410	2102.11
411	2048.24
412	2055.68
413	2011.83
414	1739.57
415	1579.21
416	1547.21
417	1504.45
418	1387.93
419	1414
