age	SL_Wright
0	70
1	66.01
2	64.22
3	68.42
4	70.4
5	74.74
6	73.06
7	75.32
8	76.89
9	71.22
10	76.65
11	74.32
12	77.38
13	80.35
14	76.17
15	77.72
16	72.65
17	73.68
18	76.53
19	75.73
20	77.66
21	75.08
22	76.54
23	77.1
24	78.18
25	84.94
26	82.54
27	81.52
28	82.49
29	81.42
30	84.19
31	80.31
32	87.74
33	92.35
34	94.95
35	98.61
36	98.2
37	101.3
38	101.19
39	106.38
40	110.12
41	104.65
42	109.17
43	114.68
44	119.93
45	123.92
46	121.32
47	119.13
48	124.14
49	129.65
50	132.92
51	126.6
52	130.66
53	130.82
54	133.43
55	137.83
56	136.53
57	143.2
58	146.45
59	154.02
60	160.22
61	162.31
62	168.68
63	174.43
64	178.91
65	182.8
66	187.53
67	193.21
68	184.88
69	189.63
70	193.01
71	191.31
72	193.79
73	195.82
74	197.2
75	199.85
76	200.97
77	203.85
78	206.26
79	208.37
80	208.95
81	204.55
82	206.28
83	203.63
84	207.1
85	209.06
86	194.12
87	195.54
88	199.59
89	198.55
90	203.67
91	205.5
92	210.51
93	215.06
94	219.57
95	225.26
96	226.98
97	232.26
98	238.51
99	245.49
100	251.18
101	249.08
102	253.32
103	258.75
104	262.08
105	266.66
106	271.83
107	276.65
108	281.18
109	283.87
110	287.81
111	287.84
112	288.02
113	288.7
114	293.34
115	295.09
116	296.49
117	297.63
118	298.77
119	292.9
120	296.56
121	266.1
122	259.11
123	252.65
124	246.92
125	237.62
126	231.43
127	223.42
128	215.63
129	202.71
130	193.19
131	182.11
132	175.93
133	173.04
134	167.67
135	162.97
136	149.67
137	142.55
138	133.53
139	129.85
140	124.19
141	121.91
142	116.11
143	108.09
144	103.1
145	97.59
146	89.2
147	99.83
148	95.42
149	91.32
150	85.12
151	74.75
152	70.34
153	66.22
154	60.94
155	59.72
156	58.27
157	57.73
158	57.39
159	53.44
160	56.75
161	59.01
162	57.26
163	56.15
164	56.39
165	54.65
166	55.3
167	55.06
168	58.55
169	57.27
170	54.74
171	54.91
172	55.93
173	53.43
174	51.09
175	49.34
176	46.66
177	45.6
178	44.36
179	43.44
180	41.24
181	41.75
182	45.47
183	50.5
184	54.55
185	58.75
186	63.01
187	66.69
188	70.64
189	71.85
190	74.79
191	77.68
192	80.75
193	83.22
194	85.48
195	87.7
196	90.06
197	93.29
198	95.56
199	95.81
200	98.82
