Age	SL_vanderMeer
0	0
1	-2
2	3
3	11
4	32
5	24
6	25
7	42
8	51
9	47
10	57
11	58
12	61
13	63
14	71
15	89
16	87
17	88
18	95
19	101
20	109
21	114
22	128
23	119
24	138
25	147
26	146
27	144
28	130
29	144
30	152
31	142
32	156
33	148
34	168
35	177
36	173
37	184
38	189
39	193
40	193
41	193
42	198
43	196
44	195
45	196
46	197
47	201
48	204
49	207
50	209
51	209
52	209
53	208
54	206
55	205
56	204
57	200
58	199
59	198
60	197
61	197
62	196
63	193
64	192
65	196
66	193
67	188
68	188
69	189
70	189
71	190
72	191
73	192
74	194
75	196
76	197
77	200
78	201
79	202
80	202
81	204
82	204
83	206
84	206
85	206
86	207
87	208
88	209
89	209
90	210
91	211
92	211
93	209
94	206
95	205
96	203
97	203
98	203
99	204
100	203
101	201
102	201
103	199
104	199
105	197
106	198
107	198
108	198
109	199
110	201
111	203
112	201
113	205
114	209
115	211
116	211
117	217
118	216
119	213
120	210
121	206
122	204
123	201
124	198
125	195
126	191
127	191
128	187
129	187
130	191
131	193
132	193
133	191
134	185
135	181
136	176
137	176
138	177
139	181
140	179
141	175
142	175
143	175
144	174
145	169
146	176
147	176
148	181
149	183
150	185
151	189
152	191
153	192
154	193
155	194
156	193
157	193
158	193
159	191
160	188
161	183
162	181
163	181
164	178
165	175
166	168
167	164
168	162
169	157
170	145
171	138
172	136
173	135
174	134
175	132
176	131
177	130
178	131
179	132
180	132
181	132
182	133
183	135
184	136
185	136
186	135
187	133
188	132
189	129
190	127
191	123
192	120
193	116
194	114
195	114
196	112
197	110
198	110
199	110
200	110
201	103
202	97
203	90
204	82
205	79
206	75
207	73
208	69
209	66
210	63
211	61
212	58
213	56
214	54
215	52
216	51
217	49
218	47
219	45
220	40
221	42
222	43
223	46
224	48
225	49
226	51
227	52
228	55
229	57
230	59
231	61
232	64
233	66
234	68
235	70
236	72
237	73
238	73
239	73
240	71
241	69
242	66
243	63
244	59
245	54
246	51
247	54
248	66
249	75
250	99
251	120
252	138
253	139
254	133
255	136
256	142
257	145
258	150
259	151
260	151
261	152
262	152
263	150
264	148
265	150
266	150
267	150
268	152
269	151
270	147
271	142
272	137
273	134
274	128
275	121
276	119
277	113
278	112
279	106
280	104
281	96
282	93
283	98
284	99
285	98
286	97
287	94
288	86
289	79
290	67
291	56
292	49
293	37
294	29
295	27
296	34
297	34
298	29
299	25
300	16
301	15
302	13
303	17
304	15
305	19
306	18
307	17
308	17
309	16
310	17
311	16
312	17
313	12
314	13
315	9
316	5
317	1
318	3
319	5
320	13
321	26
322	39
323	51
324	63
325	71
326	79
327	86
328	92
329	97
330	99
331	100
332	102
333	110
334	115
335	119
336	120
337	121
338	125
339	125
340	122
341	121
342	120
343	122
344	120
345	116
346	112
347	107
348	103
349	102
350	99
351	104
352	104
353	105
354	103
355	104
356	101
357	99
358	96
359	94
360	97
361	98
362	98
363	99
364	100
365	101
366	105
367	109
368	111
369	112
370	113
371	113
372	114
373	114
374	113
375	114
376	113
377	112
378	108
379	105
380	103
381	108
382	114
383	123
384	127
385	128
386	126
387	116
388	112
389	113
390	118
391	124
392	123
393	121
394	119
395	119
396	115
397	109
398	102
399	104
400	106
401	119
402	123
403	125
404	124
405	118
406	107
407	99
408	98
409	100
410	106
411	106
412	107
413	104
414	99
415	92
416	86
417	81
418	79
419	76
420	76
421	70
422	70
423	70
424	67
425	73
426	83
427	87
428	89
429	88
430	90
431	94
432	100
433	103
434	105
435	105
436	104
437	106
438	108
439	109
440	108
441	104
442	93
443	80
444	70
445	70
446	77
447	88
448	101
449	109
450	111
451	113
452	113
453	108
454	108
455	102
456	99
457	98
458	94
459	95
460	96
461	95
462	93
463	88
464	84
465	82
466	79
467	78
468	78
469	80
470	80
471	77
472	77
473	76
474	74
475	72
476	70
477	68
478	69
479	67
480	67
481	67
482	66
483	65
484	64
485	62
486	62
487	61
488	58
489	56
490	54
491	52
492	50
493	49
494	46
495	43
496	42
497	42
498	43
499	43
500	43
501	43
502	43
503	44
504	44
505	46
506	47
507	46
508	46
509	45
510	46
511	46
512	45
513	46
514	46
515	48
516	48
517	54
518	56
519	59
520	62
521	65
522	75
523	84
524	89
525	89
526	89
527	85
528	86
529	86
530	84
531	82
532	75
533	75
534	71
535	66
536	60
537	58
538	57
539	53
540	48
