age	BN_NAfEu
81	9003
82	8993.38232665891
83	8997.59990447244
84	9013.81159707695
85	9040.17626810881
86	9074.85278120437
87	9116
88	9161.70993287805
89	9209.80716720481
90	9258.04943509254
91	9304.19446865351
92	9346
93	9381.56411526472
94	9410.34631666215
95	9432.14646042722
96	9446.76440279486
97	9454
98	9453.85136622213
99	9447.109647419
100	9434.76424749291
101	9417.80457034618
102	9397.2200198811
103	9374
104	9349.78151922453
105	9328.79200455376
106	9315.90648760611
107	9316
108	9331.23405811387
109	9352.91611736617
110	9369.64011793539
111	9370
112	9345.65269942647
113	9300.50713483326
114	9241.53522052682
115	9175.70887081358
116	9110
117	9050.52107316488
118	8999.94675847641
119	8960.09227487514
120	8932.77284130162
121	8919.80367669639
122	8923
123	8943.28105736844
124	8977.98220381947
125	9023.54282158627
126	9076.40229290205
127	9133
128	9189.86031213086
129	9243.84754661552
130	9291.91100779242
131	9331
132	9358.98339894994
133	9377.40836584695
134	9388.74163326899
135	9395.44993379402
136	9400
137	9404.4182195533
138	9408.96960047399
139	9413.47880587053
140	9417.7704988514
141	9421.66934252506
142	9425
143	9428.03789415071
144	9432.86148691583
145	9442
146	9456.43128495757
147	9470.9277127416
148	9478.71028415482
149	9473
150	9449.10691490813
151	9410.69729882326
152	9363.5264755177
153	9313.34976876376
154	9265.92250233376
155	9227
156	9200.56642328035
157	9183.52128467489
158	9170.99293442926
159	9158.10972278908
160	9140
161	9113.1557484883
162	9079.52347940289
163	9042.41333607334
164	9005.13546182918
165	8971
166	8942.37081531172
167	8917.82665807578
168	8895
169	8871.82772226947
170	8847.46434397833
171	8821.36879369804
172	8793
