age	LA_NAfEu
81	16291.689472
82	16244.7011593265
83	16218.7490989078
84	16211.108985755
85	16219.0565148788
86	16239.8673812901
87	16270.81728
88	16308.945922024
89	16350.3490823967
90	16390.8865521574
91	16426.4181223454
92	16452.803584
93	16467.1041012273
94	16471.1863304007
95	16468.1183009605
96	16460.9680423469
97	16452.803584
98	16446.2229335816
99	16441.9440116389
100	16440.2147169407
101	16441.2829482557
102	16445.3966043525
103	16452.803584
104	16463.4965595688
105	16476.4472978378
106	16490.3723391879
107	16503.988224
108	16515.6098866942
109	16521.9458378478
110	16519.3029820776
111	16503.988224
112	16475.4757535391
113	16445.908901848
114	16430.5982853874
115	16444.8545206179
116	16503.988224
117	16616.8565431551
118	16766.5027503477
119	16929.5166490031
120	17082.4880425468
121	17202.006734404
122	17264.662528
123	17254.6882097526
124	17186.8884980492
125	17083.7110942694
126	16967.6036997931
127	16861.014016
128	16781.2444305315
129	16725.0160760756
130	16683.9047715819
131	16649.486336
132	16615.1049672315
133	16581.1783789859
134	16549.8926639245
135	16523.4339147087
136	16503.988224
137	16493.0332526383
138	16489.2129341777
139	16490.4627703509
140	16494.7182628906
141	16499.9149135294
142	16503.988224
143	16505.4353661192
144	16505.0001920401
145	16503.988224
146	16503.4503805959
147	16503.4191658638
148	16503.6724801999
149	16503.988224
150	16504.1870388465
151	16504.2605310679
152	16504.2430481791
153	16504.1689376949
154	16504.0725471302
155	16503.988224
156	16503.942623348
157	16503.9316303337
158	16503.9434376454
159	16503.9662379714
160	16503.988224
161	16504.0001127414
162	16504.0027184929
163	16503.9993798738
164	16503.9934355031
165	16503.988224
166	16503.9862636545
167	16503.9867914398
168	16503.988224
169	16503.9892418717
170	16503.9895811623
171	16503.9892418717
172	16503.988224
