Age 	SL_Marcilly_ML
0	0.00
10	-3.62
20	1.94
30	-2.87
40	23.80
50	46.55
60	84.60
70	138.79
80	283.41
90	211.92
100	212.74
110	157.05
120	210.69
130	158.33
140	129.51
150	153.13
160	200.87
170	118.36
180	24.99
190	47.79
200	55.72
210	14.65
220	57.72
230	37.01
240	40.08
250	72.00
260	73.19
270	154.74
280	139.63
290	113.52
300	156.56
310	165.82
320	83.67
330	135.44
340	123.44
350	147.21
360	103.85
370	231.97
380	246.88
390	259.04
400	169.41
410	150.06
420	259.03
430	261.81
440	175.37
450	181.30
460	249.39
470	241.32
480	242.22
490	234.88
500	245.93
510	304.20
520	245.74
