Age	SL_Scotese
0	3.473620564
0.02	-82.59974876
5	-4.417286349
6	-16.22828457
10	-20.12603388
15	-5.881808294
20	-18.91877152
25	-54.27898749
30	-33.3729464
35	-27.35480646
40	-24.65426756
45	-2.977579927
50	23.33956796
55	50.41150081
60	17.1267175
65	8.892757143
70	31.38553806
75	-0.733995428
80	135.8540736
85	109.4920773
90	111.3792812
95	84.72641141
100	23.72343553
105	36.62717323
110	16.44731581
115	21.44049957
120	51.91208716
125	12.94237577
130	-1.397164322
135	-2.638917364
140	-2.756350825
145	11.01419851
150	-2.6395939
155	1.77532011
160	6.828396019
165	15.80177415
170	0.073122371
175	3.692639088
180	-28.95466447
185	-13.51198692
190	-7.578105458
195	-0.416544302
200	49.63455561
210	22.77868165
220	-0.633891351
230	-1.766388781
240	82.25500461
245	-1.398194669
250	46.6464684
255	48.30935665
260	74.39124434
270	89.21653614
275	105.6600565
280	114.7855144
290	111.8480068
295	154.0269077
300	157.3798516
305	136.5075747
310	100.7667427
315	94.08337837
320	136.085064
330	119.8676728
340	195.3195226
350	150.6054272
360	231.745019
370	249.7121975
380	309.1476746
390	256.4351241
395	266.4803232
400	328.2264939
410	223.7881093
415	234.370403
420	246.3208149
425	215.2073173
430	255.2357816
440	238.7029051
445	245.1354451
450	253.5172563
455	229.4497008
460	210.2017954
470	225.3802505
480	266.4144078
485	248.5015004
490	255.6809188
500	303.8999833
520	239.0040067
530	229.7002942
540	245.3931948
