Age	SL_Young_M21RD
4.201816877	6.780213353
12.64867285	16.88744673
21.17888595	28.4987327
28.89405154	33.41197114
41.99038306	40.15012673
49.38138203	39.70091636
58.06904749	36.78104894
66.8863796	44.41762527
74.56912853	47.02866056
81.92771084	54.74946383
93.98670917	55.87248976
102.5965746	59.57847534
121.9687719	57.22012088
129.2992598	37.90407487
139.1292267	5.33632287
147.4871684	-35.09261065
156.3563672	-82.56597955
165.9146516	-92.84822995
173.5501648	-80.91206863
180.9189352	-71.18987271
191.3663623	-66.63942998
199.9243611	-61.73895319
210.8163596	-63.57663199
219.3743584	-62.35151279
228.1268572	-65.41431078
236.879356	-75.52154416
248.2381544	-11.17215832
257.8075531	62.61064535
270.3333513	86.1941899
281.7115998	107.6720608
290.1723486	165.554689
298.8167918	222.4546695
307.2883462	271.9747653
316.5379005	319.7835835
324.7501216	350.1052837
332.1843428	367.2715372
342.2205414	393.1171768
350.8563402	420.9580106
359.414339	445.1541147
367.9723378	446.6855137
376.6859366	442.6426204
385.0883354	441.785037
392.4793344	442.8953012
400.6483332	425.9897502
410.1572208	332.5112108
418.9313307	248.2468317
430.2987736	249.0329499
437.9923281	263.632287
447.3283268	322.703451
456.0592144	385.2934295
465.3952131	391.6572431
474.169323	356.2819263
483.6998217	336.348216
488.951321	334.9444336
503.8111189	335.5059466
512.6803177	341.6315426
520.8493165	340.2226555
530.0556486	303.4997075
538.3543141	269.9620695
546.9123129	207.1747106
554.3033119	148.1009943
