age	CF_Zaffos
0	0.390019097
1	0.390019097
2	0.451370613
3	0.451276905
4	0.450635508
5	0.462296319
6	0.455377551
7	0.456101011
8	0.457427958
9	0.471878061
10	0.471818565
11	0.472092834
12	0.491021922
13	0.503465119
14	0.513732777
15	0.514107911
16	0.504454352
17	0.504431354
18	0.504486085
19	0.504452044
20	0.499900375
21	0.499437412
22	0.499518212
23	0.499468683
24	0.499342603
25	0.498899203
26	0.498704412
27	0.498671438
28	0.511151784
29	0.511411975
30	0.495216833
31	0.49908992
32	0.50056441
33	0.501669088
34	0.502249921
35	0.503005105
36	0.511397517
37	0.514286919
38	0.515820595
39	0.517600388
40	0.518784635
41	0.520547858
42	0.521662459
43	0.521948138
44	0.522097081
45	0.522220792
46	0.522462222
47	0.522978858
48	0.523753689
49	0.521844409
50	0.521542365
51	0.527391223
52	0.527552801
53	0.527676321
54	0.52768445
55	0.527654922
56	0.536111742
57	0.535040363
58	0.532740141
59	0.532468583
60	0.531692225
61	0.53479689
62	0.53519875
63	0.535512164
64	0.535821435
65	0.53376153
66	0.533163123
67	0.533589932
68	0.537438526
69	0.538814495
70	0.539581963
71	0.543123084
72	0.543398635
73	0.543349118
74	0.543382893
75	0.544245874
76	0.543441653
77	0.53878069
78	0.535073748
79	0.534373582
80	0.533803129
81	0.531563144
82	0.529626462
83	0.529229458
84	0.528635507
85	0.52573418
86	0.516348709
87	0.516673003
88	0.515809698
89	0.514559122
90	0.517379917
91	0.521695946
92	0.520482294
93	0.514892456
94	0.512957032
95	0.51137412
96	0.508706724
97	0.50852325
98	0.507816863
99	0.507534766
100	0.507375269
101	0.50722461
102	0.507149371
103	0.507064931
104	0.507104446
105	0.507036838
106	0.505580138
107	0.499793016
108	0.498585868
109	0.497576577
110	0.496779453
111	0.486903642
112	0.485679678
113	0.461759614
114	0.46023643
115	0.449990884
116	0.452444471
117	0.444765012
118	0.437508142
119	0.435686482
120	0.436840605
121	0.457002974
122	0.451363839
123	0.451851659
124	0.451873317
125	0.451854357
126	0.453521917
127	0.438506176
128	0.439523824
129	0.439967133
130	0.440364274
131	0.420199518
132	0.409684229
133	0.409752889
134	0.40699834
135	0.408219561
136	0.394997976
137	0.397791301
138	0.396868939
139	0.39544581
140	0.394603246
141	0.397572394
142	0.397169107
143	0.396888667
144	0.385025964
145	0.384918544
146	0.390567083
147	0.382128879
148	0.381228038
149	0.380930104
150	0.380724673
151	0.380228646
152	0.380089064
153	0.37946688
154	0.379102488
155	0.368623258
156	0.367677472
157	0.367420113
158	0.367221755
159	0.368626886
160	0.367991487
161	0.365285496
162	0.364831842
163	0.364035221
164	0.364087192
165	0.364719487
166	0.36458252
167	0.364339083
168	0.325370866
169	0.324895513
170	0.324699843
171	0.325273753
172	0.321419973
173	0.31954972
174	0.319688074
175	0.312802378
176	0.312986948
177	0.313293931
178	0.3148821
179	0.316153026
180	0.317832826
181	0.317610584
182	0.31672822
183	0.316622831
184	0.316423553
185	0.316666936
186	0.316627636
187	0.316572006
188	0.316504003
189	0.316381967
190	0.316314636
191	0.316052718
192	0.315814697
193	0.315563055
194	0.316132171
195	0.315873324
196	0.333155366
197	0.333172978
198	0.332798915
199	0.332553334
200	0.332647266
201	0.331010949
202	0.330526514
203	0.330667738
204	0.330215853
205	0.328400115
206	0.326907179
207	0.320920414
208	0.319465117
209	0.318649592
210	0.318670523
211	0.32220427
212	0.322735632
213	0.329885318
214	0.330337669
215	0.330910118
216	0.329714832
217	0.329648595
218	0.328176714
219	0.327752789
220	0.327156978
221	0.326505829
222	0.32583617
223	0.325341847
224	0.324917612
225	0.324845916
226	0.324620739
227	0.324490696
228	0.324444048
229	0.32440493
230	0.324178003
231	0.323720558
232	0.321545797
233	0.318859922
234	0.317563638
235	0.314682779
236	0.315508498
237	0.314928703
238	0.314492154
239	0.314099987
240	0.313726375
241	0.313720032
242	0.313678779
243	0.313793623
244	0.31554136
245	0.315251991
246	0.334964673
247	0.335663526
248	0.335186856
249	0.334848637
250	0.335937236
251	0.327694794
252	0.325474957
253	0.326689806
254	0.326566238
255	0.32639975
256	0.327414442
257	0.332217446
258	0.333766757
259	0.331797986
260	0.332310561
261	0.343486929
262	0.344711088
263	0.345517368
264	0.347115211
265	0.348157117
266	0.347117285
267	0.34885025
268	0.348952491
269	0.350053648
270	0.35162668
271	0.354752948
272	0.35556515
273	0.356549941
274	0.357646049
275	0.358844399
276	0.360489848
277	0.362543608
278	0.363690446
279	0.364366801
280	0.365462836
281	0.364637398
282	0.364326601
283	0.363872054
284	0.36358511
285	0.363405847
286	0.363145796
287	0.362579051
288	0.36162074
289	0.36063529
290	0.359807719
291	0.359027307
292	0.357884108
293	0.356036547
294	0.354592529
295	0.353517346
296	0.35291411
297	0.352249371
298	0.351534489
299	0.350919106
300	0.35053135
301	0.347980553
302	0.345728759
303	0.345543921
304	0.345394519
305	0.345291473
306	0.344549942
307	0.344546494
308	0.344625347
309	0.35307005
310	0.353073937
311	0.351990234
312	0.351458014
313	0.35045298
314	0.349900849
315	0.349790512
316	0.349849607
317	0.349977409
318	0.350188996
319	0.352227647
320	0.353055654
321	0.354132681
322	0.355041172
323	0.356431439
324	0.383237458
325	0.397111554
326	0.397723087
327	0.399606125
328	0.400087944
329	0.400450442
330	0.400949852
331	0.401424502
332	0.403511611
333	0.403862767
334	0.410575832
335	0.410559808
336	0.410605486
337	0.410701361
338	0.410645003
339	0.410926069
340	0.413080077
341	0.408620071
342	0.407732603
343	0.406841229
344	0.409195009
345	0.41172568
346	0.412803463
347	0.413237277
348	0.413300951
349	0.421849045
350	0.421365398
351	0.421345233
352	0.421081045
353	0.420279481
354	0.420266538
355	0.420037642
356	0.426677063
357	0.424712679
358	0.42379556
359	0.423441342
360	0.422393241
361	0.420888456
362	0.413195317
363	0.410655307
364	0.410843146
365	0.410490769
366	0.419797831
367	0.421610918
368	0.422731883
369	0.416623063
370	0.417185933
371	0.417820606
372	0.418537729
373	0.420691519
374	0.420593147
375	0.420511233
376	0.420412152
377	0.420464957
378	0.423939153
379	0.42384367
380	0.423727462
381	0.423659911
382	0.423159498
383	0.422886603
384	0.422753585
385	0.422679154
386	0.422766282
387	0.422950843
388	0.410931574
389	0.411085098
390	0.410518476
391	0.40984207
392	0.409590435
393	0.409345142
394	0.409218686
395	0.40801275
396	0.405884427
397	0.405192971
398	0.403662436
399	0.400777556
400	0.400686218
401	0.400712959
402	0.395988852
403	0.397310783
404	0.385192074
405	0.404438158
406	0.406804893
407	0.40612551
408	0.405381107
409	0.405198818
410	0.405195388
411	0.405302399
412	0.405312624
413	0.404465186
414	0.404472231
415	0.405413086
416	0.405373389
417	0.403424555
418	0.39439348
419	0.393658152
420	0.394133999
421	0.403158837
422	0.399040458
423	0.401951635
424	0.401033813
425	0.400807565
426	0.412822911
427	0.439164644
428	0.438439217
429	0.437944951
430	0.438659767
431	0.440000416
432	0.441375715
433	0.44156743
434	0.44217902
435	0.446090421
436	0.448741251
437	0.447531161
438	0.448071067
439	0.448801465
440	0.447166315
441	0.446193626
442	0.446790362
443	0.447070979
444	0.454892653
445	0.455276032
446	0.45568017
447	0.456115903
448	0.456590347
449	0.457124499
450	0.457770952
451	0.457793478
452	0.457740525
453	0.457761634
454	0.458083463
455	0.458699872
456	0.45953534
457	0.460077071
458	0.460579817
459	0.461351013
460	0.461677861
461	0.461992206
462	0.462035333
463	0.462480983
464	0.463249674
465	0.464139966
466	0.464131713
467	0.464562097
468	0.464886665
469	0.465318081
470	0.465691354
471	0.465733876
472	0.465678058
473	0.465469517
474	0.465333515
475	0.465173781
476	0.463996788
477	0.463397374
478	0.462921321
