Taxon_name	Status	Min_Ma	Max_Ma
Cypridea_aaleyensis	extinct	117.2	125.8
Cypridea_aaleyensis	extinct	117.2	125.8
Cypridea_aaleyensis	extinct	117.2	125.8
Cypridea_aaleyensis	extinct	117.2	125.8
Cypridea_aaleyensis	extinct	117.2	125.8
Cypridea_aaleyensis	extinct	117.2	125.8
Cypridea_aaleyensis	extinct	121.4	132.6
Cypridea_ahlmadoensis	extinct	117.2	121.4
Cypridea_baidarensis	extinct	117.2	125.8
Cypridea_baidarensis	extinct	117.2	125.8
Cypridea_baidarensis	extinct	117.2	125.8
Cypridea_baidarensis	extinct	117.2	125.8
Cypridea_baidarensis	extinct	121.4	132.6
Cypridea_baidarensis	extinct	121.4	132.6
Cypridea_demnatensis	extinct	149.2	154.8
Cypridea_garurensis	extinct	117.2	121.4
Cypridea_heliopolisensis	extinct	117.2	125.8
Cypridea_heliopolisensis	extinct	117.2	125.8
Cypridea_heliopolisensis	extinct	117.2	125.8
Cypridea_heliopolisensis	extinct	117.2	125.8
Cypridea_heliopolisensis	extinct	117.2	125.8
Cypridea_heliopolisensis	extinct	121.4	132.6
Cypridea_heliopolisensis	extinct	121.4	132.6
Cypridea_libanensis	extinct	117.2	125.8
Cypridea_libanensis	extinct	117.2	125.8
Cypridea_libanensis	extinct	117.2	125.8
Cypridea_libanensis	extinct	117.2	125.8
Cypridea_libanensis	extinct	121.4	132.6
Cypridea_libanensis	extinct	121.4	132.6
Cypridea_libanensis	extinct	121.4	132.6
Cypridea_libanensis	extinct	121.4	132.6
Cypridea_mohandi	extinct	149.2	161.5
Cypridea_mohandi	extinct	149.2	154.8
Cypridea_mohandi	extinct	149.2	154.8
Cypridea_orientalis	extinct	117.2	125.8
Cypridea_orientalis	extinct	117.2	125.8
Cypridea_quadrangulata	extinct	110.8	111.4
Cypridea_quadrangulata	extinct	117.2	125.8
Cypridea_quadrangulata	extinct	117.2	125.8
Cypridea_quadrangulata	extinct	117.2	125.8
Cypridea_sidonensis	extinct	117.2	125.8
Cypridea_sidonensis	extinct	117.2	125.8
Cypridea_tayasirensis	extinct	121.4	132.6
Cypridea_tayasirensis	extinct	121.4	132.6
Cypridea_tayasirensis	extinct	121.4	132.6
Praecypridea_suprajurassica	extinct	149.2	161.5
Praecypridea_suprajurassica	extinct	149.2	161.5
Praecypridea_suprajurassica	extinct	149.2	161.5
Praecypridea_suprajurassica	extinct	149.2	161.5
Praecypridea_suprajurassica	extinct	149.2	161.5
Cypridea_indiennensis	extinct	136.1	143.9
Cypridea_indiennensis	extinct	136.1	143.9
Cypridea_kitariensis	extinct	89.8	97.2
Cypridea_kitariensis	extinct	89.8	97.2
Cypridea_brevicornis	extinct	105	110
Cypridea_brevicornis	extinct	105	110
Cypridea_brevicornis	extinct	105	110
Cypridea_brevicornis	extinct	105	110
Cypridea_compta	extinct	98	124
Cypridea_compta	extinct	98	124
Cypridea_compta	extinct	99	105
Cypridea_compta	extinct	105	110
Cypridea_compta	extinct	105	110
Cypridea_compta	extinct	105	110
Cypridea_diminuta	extinct	98	124
Cypridea_diminuta	extinct	98	124
Cypridea_diminuta	extinct	98	124
Cypridea_diminuta	extinct	105	110
Cypridea_diminuta	extinct	105	110
Cypridea_diminuta	extinct	105	110
Cypridea_diminuta	extinct	105	110
Cypridea_diminuta	extinct	110	115
Cypridea_diminuta	extinct	110	115
Cypridea_laevigata	extinct	130	140
Cypridea_laevigata	extinct	132.6	142.4
Cypridea_laevigata	extinct	133.7	142.5
Cypridea_laevigata	extinct	133.7	142.5
Cypridea_longispina	extinct	130	140
Cypridea_longispina	extinct	133.7	142.5
Cypridea_longispina	extinct	133.7	142.5
Cypridea_nitidula	extinct	99	105
Cypridea_nitidula	extinct	105	110
Cypridea_nitidula	extinct	105	110
Cypridea_nitidula	extinct	105	110
Cypridea_obesa	extinct	98	124
Cypridea_obesa	extinct	98	124
Cypridea_obesa	extinct	98	124
Cypridea_piedmonti	extinct	123.6	142.4
Cypridea_piedmonti	extinct	132.6	142.4
Cypridea_piedmonti	extinct	132.6	142.4
Cypridea_piedmonti	extinct	132.6	142.4
Cypridea_piedmonti	extinct	132.6	142.4
Cypridea_quadrata	extinct	98	124
Cypridea_quadrata	extinct	98	124
Cypridea_quadrata	extinct	98	124
Cypridea_quadrata	extinct	98	124
Cypridea_quadrata	extinct	98	124
Cypridea_quadrata	extinct	98	124
Cypridea_wyomingensis	extinct	103	115
Cypridea_wyomingensis	extinct	105	110
Cypridea_wyomingensis	extinct	105	110
