Taxon_name	Status	Min_Ma	Max_Ma
Cypridea_aaleyensis	extinct	117.2	125.8
Cypridea_aaleyensis	extinct	117.2	125.8
Cypridea_aaleyensis	extinct	117.2	125.8
Cypridea_aaleyensis	extinct	117.2	125.8
Cypridea_aaleyensis	extinct	117.2	125.8
Cypridea_aaleyensis	extinct	117.2	125.8
Cypridea_aaleyensis	extinct	121.4	132.6
Cypridea_baidarensis	extinct	117.2	125.8
Cypridea_baidarensis	extinct	117.2	125.8
Cypridea_baidarensis	extinct	117.2	125.8
Cypridea_baidarensis	extinct	117.2	125.8
Cypridea_baidarensis	extinct	121.4	132.6
Cypridea_baidarensis	extinct	121.4	132.6
Cypridea_boulmanensis	extinct	113	121.4
Cypridea_daoudensis	extinct	123.6	129.2
Cypridea_daoudensis	extinct	123.6	129.2
Cypridea_demnatensis	extinct	149.2	154.8
Cypridea_granulosa	extinct	140.2	145
Cypridea_granulosa	extinct	140.2	145
Cypridea_granulosa	extinct	140.2	145
Cypridea_granulosa	extinct	140.2	145
Cypridea_heliopolisensis	extinct	117.2	125.8
Cypridea_heliopolisensis	extinct	117.2	125.8
Cypridea_heliopolisensis	extinct	117.2	125.8
Cypridea_heliopolisensis	extinct	117.2	125.8
Cypridea_heliopolisensis	extinct	117.2	125.8
Cypridea_heliopolisensis	extinct	121.4	132.6
Cypridea_heliopolisensis	extinct	121.4	132.6
Cypridea_laevigata	extinct	132.6	141.6
Cypridea_laevigata	extinct	132.6	141.6
Cypridea_libanensis	extinct	117.2	125.8
Cypridea_libanensis	extinct	117.2	125.8
Cypridea_libanensis	extinct	117.2	125.8
Cypridea_libanensis	extinct	117.2	125.8
Cypridea_libanensis	extinct	121.4	132.6
Cypridea_libanensis	extinct	121.4	132.6
Cypridea_libanensis	extinct	121.4	132.6
Cypridea_libanensis	extinct	121.4	132.6
Cypridea_mohandi	extinct	149.2	161.5
Cypridea_mohandi	extinct	149.2	154.8
Cypridea_mohandi	extinct	149.2	154.8
Cypridea_orientalis	extinct	117.2	125.8
Cypridea_orientalis	extinct	117.2	125.8
Cypridea_propunctata	extinct	139.5	141.7
Cypridea_propunctata	extinct	139.5	141.7
Cypridea_quadrangulata	extinct	110.8	111.4
Cypridea_quadrangulata	extinct	117.2	125.8
Cypridea_quadrangulata	extinct	117.2	125.8
Cypridea_quadrangulata	extinct	117.2	125.8
Cypridea_rhahelensis	extinct	123.6	129.2
Cypridea_rhahelensis	extinct	123.6	129.2
Cypridea_sidonensis	extinct	117.2	125.8
Cypridea_sidonensis	extinct	117.2	125.8
Cypridea_tayasirensis	extinct	121.4	132.6
Cypridea_tayasirensis	extinct	121.4	132.6
Cypridea_tayasirensis	extinct	121.4	132.6
Cypridea_tumescens	extinct	141.9	147.1
Cypridea_tumescens	extinct	141.9	147.1
Cypridea_ventriosa	extinct	117.2	121.4
Praecypridea_suprajurassica	extinct	149.2	161.5
Praecypridea_suprajurassica	extinct	149.2	161.5
Praecypridea_suprajurassica	extinct	149.2	161.5
Praecypridea_suprajurassica	extinct	149.2	161.5
Praecypridea_suprajurassica	extinct	149.2	161.5
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aculeata	extinct	134.1	136.4
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
