clade	species	ts	te	distribution
0	Cypridea_aaleyensis	127.9592396	117.1342505	NAf
0	Cypridea_acicularis	142.5732305	137.1366253	SAm
0	Cypridea_aculeata	136.4675991	134.039582	Eu
0	Cypridea_aemulans	142.8265269	138.2068783	Eu
0	Cypridea_ahlmadoensis	119.8026534	118.6707439	NAf_Som
0	Cypridea_alcaramae	136.2013118	135.6664358	Eu
0	Cypridea_aleksandrowiensis	142.6981221	142.5029424	Eu
0	Cypridea_alta	141.4092899	139.7804538	Eu
0	Cypridea_altilis	135.9092576	135.3591317	SAm
0	Cypridea_altissima	142.368108	141.2570562	Eu
0	Cypridea_ambigua	143.8963156	142.7572644	WAf;SAm
0	Cypridea_amerikana	114.9430247	104.9303552	SAm_Arg
0	Cypridea_amisia	142.4796553	141.2941985	Eu
0	Cypridea_andersoni	141.859061	140.4120444	Eu
0	Cypridea_aragonensis	129.8551096	124.4338611	Eu
0	Cypridea_araripensis	126.025944	111.729035	SAm
0	Cypridea_arenosa	135.9002669	134.4952008	Eu
0	Cypridea_asseri	135.8807054	134.5366211	Eu
0	Cypridea_australis	132.9370124	119.6105278	SAm_Arg
0	Cypridea_baidarensis	129.6703889	117.4455591	NAf
0	Cypridea_bapounou	122.9060583	122.0894523	WAf
0	Cypridea_bibullata	126.0974493	123.4895906	WAf;SAm
0	Cypridea_bimammata	141.6843862	139.2450622	Eu
0	Cypridea_binodosa	144.0131676	142.5838599	Eu
0	Cypridea_bispinosa	136.3948624	132.4688455	Eu
0	Cypridea_blackbushensis	137.6776608	134.5475237	Eu
0	Cypridea_boulmanensis	117.8773185	116.4554305	NAf
0	Cypridea_brendae	128.7043149	127.0855951	Eu
0	Cypridea_brevicornis	110.3766631	104.7112195	NAm
0	Cypridea_brevirostrata	142.083173	138.697234	Eu
0	Cypridea_bubonulata	142.2276235	142.0229842	SAm
0	Cypridea_bullata	119.2921551	118.0198265	Eu
0	Cypridea_buxtorfi	143.5052548	143.3124554	Eu
0	Cypridea_candeiensis	141.8804525	139.9970712	WAf;SAm
0	Cypridea_caudata	122.8098748	121.9776021	Eu
0	Cypridea_cayelli	120.7235211	119.6923431	SAm_Arg
0	Cypridea_cidacosia	130.7229058	123.1063018	Eu
0	Cypridea_clavata	132.0543125	120.8306626	Eu
0	Cypridea_coelnothi	143.4246004	142.4858151	Eu
0	Cypridea_compta	116.8916629	99.7402696	NAm
0	Cypridea_comptonensis	123.4837791	122.3364969	Eu
0	Cypridea_conjugata	123.8693476	122.43002	SAm
0	Cypridea_cornuta	130.5698514	122.7975921	Eu
0	Cypridea_craigi	117.083519	103.1393753	SAm_Arg
0	Cypridea_cuckmerensis	123.0673072	120.8519616	Eu
0	Cypridea_cymerata	125.7203627	119.8178349	SAm_Arg
0	Cypridea_cyrtorostralis	126.7739251	116.4134336	NAf;Eu
0	Cypridea_daoudensis	128.3185786	124.5754949	NAf
0	Cypridea_darvelensis	142.0290994	140.7743708	Eu
0	Cypridea_deklaszi	123.4269185	121.3043647	WAf
0	Cypridea_delicatula	143.4090816	142.5934035	Eu
0	Cypridea_delicatula*	120.7638556	119.7164827	SAm_Arg
