	CD	CO2	GMST_JEA	GMST_LEA_F	GMST_MEA	GMST_SEA	GMST_VEA_F	ESL_HEA	ESL_KEA	ESL_MaEA_ML	ESL_MeEA	ESL_SEA	ESL_VEA	ESL_WEA	ESL_YEA_M	CA_ZEA	CF_SDI	BS	BN	LA	PI
N_std_sp	-0.35	0	0	-0.06	0.01	-0.01	0.01	0	0	0	0	0	0	0	0	-0.32	0.25	0	0	0	30.69
N_std_ex	0.11	0	0	0.02	0	0.04	0.04	0	0	0	0	0	0	0	0	-13.38	0.09	0	0	0	-34.76
W_std_sp	-0.66	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	-0.14	-0.37	0	0	0	-0.88
W_std_ex	-0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.13	-0.01	0	0	0	0.25
G_std_sp	-0.11	0	0.01	-0.11	0.01	-0.01	0.01	0	0	0	0	0	0	0	0	-0.74	-0.09	0.01	0	0	89.21
G_std_ex	0.45	0	0.08	-0.05	-0.02	0.05	0.01	0	0	0	0	0	0	0	0	-13.22	-0.09	0	0	0	-92.24
N_unstd_sp	-0.17	0	-0.01	-0.12	0.02	-0.01	0.01	0	0	0	0	0	0	0	0	0.79	0.02	0	0	0	53.53
N_unstd_ex	0.26	0	0	0.03	0.02	0.1	0.07	-0.02	0	0	0	0	-0.01	0.01	0	-8.6	0.12	0	0	0	-128.5
W_unstd_sp	-0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.15	-0.12	0	0	0	-0.54
W_unstd_ex	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.13	0.01	0	0	0	0.49
G_unstd_sp	-0.89	0	0.02	-0.54	0.16	-0.01	0.08	-0.01	0	0	0	0	0	0	0	-0.52	-0.04	0.01	0	0	264.45
G_unstd_ex	0.14	0	0.2	-0.1	-0.05	0.05	0.06	0	0	0	0	0	0	0	0	-15.52	-0.22	0	0	0	-87.67
