	CD	CO2	GMST_JEA	GMST_LEA_F	GMST_MEA	GMST_SEA	GMST_VEA_F	ESL_HEA	ESL_KEA	ESL_MaEA_ML	ESL_MeEA	ESL_SEA	ESL_VEA	ESL_WEA	ESL_YEA_M	CA_ZEA	CF_SDI	BS	BN	LA	PI
N_std_sp	0.24	0.24	0.23	0.28	0.25	0.25	0.23	0.24	0.33	0.23	0.22	0.25	0.34	0.29	0.27	0.24	0.22	0.34	0.2	0.2	0.24
N_std_ex	0.16	0.26	0.23	0.24	0.24	0.34	0.27	0.35	0.28	0.29	0.26	0.26	0.26	0.37	0.27	0.54	0.19	0.25	0.19	0.27	0.25
W_std_sp	0.26	0.09	0.09	0.07	0.08	0.08	0.08	0.08	0.07	0.09	0.08	0.11	0.07	0.07	0.09	0.08	0.11	0.05	0.07	0.1	0.08
W_std_ex	0.06	0.08	0.08	0.08	0.08	0.08	0.07	0.08	0.09	0.09	0.07	0.1	0.08	0.09	0.09	0.08	0.07	0.06	0.06	0.07	0.07
G_std_sp	0.18	0.3	0.29	0.38	0.3	0.27	0.27	0.36	0.3	0.31	0.3	0.29	0.27	0.26	0.29	0.27	0.28	0.48	0.4	0.27	0.28
G_std_ex	0.29	0.27	0.5	0.3	0.3	0.39	0.25	0.27	0.29	0.27	0.26	0.28	0.28	0.24	0.31	0.64	0.27	0.29	0.33	0.24	0.28
N_unstd_sp	0.23	0.34	0.33	0.41	0.34	0.32	0.32	0.31	0.45	0.32	0.32	0.33	0.38	0.4	0.36	0.32	0.23	0.48	0.29	0.29	0.33
N_unstd_ex	0.26	0.33	0.32	0.33	0.37	0.53	0.41	0.67	0.37	0.4	0.41	0.42	0.4	0.44	0.35	0.49	0.27	0.34	0.27	0.34	0.41
W_unstd_sp	0.17	0.08	0.08	0.07	0.08	0.07	0.08	0.08	0.07	0.1	0.07	0.1	0.07	0.07	0.09	0.07	0.08	0.06	0.06	0.1	0.07
W_unstd_ex	0.06	0.09	0.08	0.07	0.08	0.08	0.08	0.09	0.1	0.09	0.08	0.1	0.08	0.12	0.1	0.08	0.07	0.07	0.06	0.08	0.07
G_unstd_sp	0.49	0.39	0.38	0.77	0.54	0.37	0.45	0.49	0.38	0.41	0.46	0.44	0.36	0.35	0.44	0.36	0.37	0.63	0.4	0.37	0.5
G_unstd_ex	0.25	0.37	0.87	0.43	0.44	0.48	0.42	0.4	0.38	0.36	0.38	0.44	0.39	0.32	0.41	0.8	0.39	0.32	0.45	0.48	0.35
